dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel
01;04;2022-05-01;13;6;1;0;38356.0;0.0;0.0;0.0;0.0
01;11;2022-05-01;1631;1336;41;0;18151.0;9.0;7.4;0.2;0.0
01;17;2022-05-01;43764;42852;7920;0;52102.0;84.0;82.2;15.2;0.0
01;24;2022-05-01;45331;44907;30848;0;45088.0;99.0;99.0;68.4;0.0
01;29;2022-05-01;27361;27073;17787;0;34820.0;78.6;77.8;51.1;0.0
01;39;2022-05-01;68296;67722;46073;0;85588.0;79.8;79.1;53.8;0.0
01;49;2022-05-01;76008;75531;58083;0;89678.0;84.8;84.2;64.8;0.0
01;59;2022-05-01;78897;78504;66941;0;89791.0;87.9;87.4;74.6;0.0
01;09;2022-05-01;1194;929;6;0;44645.0;2.7;2.1;0.0;0.0
01;64;2022-05-01;34412;34276;30591;711;38384.0;89.7;89.3;79.7;1.9
01;69;2022-05-01;31534;31397;28582;765;35116.0;89.8;89.4;81.4;2.2
01;74;2022-05-01;29975;29843;27462;883;30953.0;96.8;96.4;88.7;2.9
01;79;2022-05-01;19584;19459;17849;1615;20058.0;97.6;97.0;89.0;8.1
01;80;2022-05-01;29898;29468;25614;4599;34225.0;87.4;86.1;74.8;13.4
02;04;2022-05-01;7;2;0;0;28189.0;0.0;0.0;0.0;0.0
02;11;2022-05-01;1562;1242;21;0;14179.0;11.0;8.8;0.1;0.0
02;17;2022-05-01;37394;36540;8549;0;41103.0;91.0;88.9;20.8;0.0
02;24;2022-05-01;40691;40153;29552;0;37469.0;99.0;99.0;78.9;0.0
02;29;2022-05-01;23568;23219;16537;0;26232.0;89.8;88.5;63.0;0.0
02;39;2022-05-01;54659;54060;39860;0;62599.0;87.3;86.4;63.7;0.0
02;49;2022-05-01;58917;58537;47748;0;64812.0;90.9;90.3;73.7;0.0
02;59;2022-05-01;65342;65016;57018;0;70352.0;92.9;92.4;81.0;0.0
02;09;2022-05-01;1209;971;4;0;34123.0;3.5;2.8;0.0;0.0
02;64;2022-05-01;32038;31904;28910;1049;34901.0;91.8;91.4;82.8;3.0
02;69;2022-05-01;31031;30896;28382;1135;34176.0;90.8;90.4;83.0;3.3
02;74;2022-05-01;29256;29115;26788;1139;28969.0;99.0;99.0;92.5;3.9
02;79;2022-05-01;16054;15950;14572;1266;16402.0;97.9;97.2;88.8;7.7
02;80;2022-05-01;27515;27053;23374;4143;32544.0;84.5;83.1;71.8;12.7
03;04;2022-05-01;3;1;0;0;14190.0;0.0;0.0;0.0;0.0
03;11;2022-05-01;899;733;21;0;7080.0;12.7;10.4;0.3;0.0
03;17;2022-05-01;19598;19207;4716;0;22000.0;89.1;87.3;21.4;0.0
03;24;2022-05-01;22112;21863;16253;0;20427.0;99.0;99.0;79.6;0.0
03;29;2022-05-01;12919;12790;9288;0;14422.0;89.6;88.7;64.4;0.0
03;39;2022-05-01;28479;28217;21115;0;33349.0;85.4;84.6;63.3;0.0
03;49;2022-05-01;35203;34989;28957;0;39464.0;89.2;88.7;73.4;0.0
03;59;2022-05-01;42449;42265;37323;0;45840.0;92.6;92.2;81.4;0.0
03;09;2022-05-01;665;521;0;0;16681.0;4.0;3.1;0.0;0.0
03;64;2022-05-01;22269;22187;20204;523;23776.0;93.7;93.3;85.0;2.2
03;69;2022-05-01;22741;22633;20934;599;25182.0;90.3;89.9;83.1;2.4
03;74;2022-05-01;23122;23003;21326;738;23121.0;99.0;99.0;92.2;3.2
03;79;2022-05-01;14981;14898;13759;1297;15099.0;99.0;98.7;91.1;8.6
03;80;2022-05-01;26930;26548;23241;4341;30684.0;87.8;86.5;75.7;14.1
04;04;2022-05-01;2;0;0;0;7352.0;0.0;0.0;0.0;0.0
04;11;2022-05-01;184;137;8;0;3721.0;4.9;3.7;0.2;0.0
04;17;2022-05-01;7147;6924;1343;0;11153.0;64.1;62.1;12.0;0.0
04;24;2022-05-01;9404;9177;5587;0;9366.0;99.0;98.0;59.7;0.0
04;29;2022-05-01;5475;5374;3204;0;7090.0;77.2;75.8;45.2;0.0
04;39;2022-05-01;12820;12578;7821;0;17545.0;73.1;71.7;44.6;0.0
04;49;2022-05-01;15255;15063;10871;0;19525.0;78.1;77.1;55.7;0.0
04;59;2022-05-01;19852;19653;15989;0;23898.0;83.1;82.2;66.9;0.0
04;09;2022-05-01;123;94;1;0;8868.0;1.4;1.1;0.0;0.0
04;64;2022-05-01;10364;10297;8947;209;12510.0;82.8;82.3;71.5;1.7
04;69;2022-05-01;10169;10113;9069;272;11975.0;84.9;84.5;75.7;2.3
04;74;2022-05-01;10097;10035;9209;345;11196.0;90.2;89.6;82.3;3.1
04;79;2022-05-01;7197;7151;6543;585;7612.0;94.5;93.9;86.0;7.7
04;80;2022-05-01;11089;10914;9384;1544;13386.0;82.8;81.5;70.1;11.5
05;04;2022-05-01;6;3;2;0;6561.0;0.1;0.0;0.0;0.0
05;11;2022-05-01;198;165;6;0;3350.0;5.9;4.9;0.2;0.0
05;17;2022-05-01;7349;7164;1142;0;9735.0;75.5;73.6;11.7;0.0
05;24;2022-05-01;8840;8691;5544;0;8030.0;99.0;99.0;69.0;0.0
05;29;2022-05-01;5408;5291;3194;0;6298.0;85.9;84.0;50.7;0.0
05;39;2022-05-01;12982;12718;7950;0;16000.0;81.1;79.5;49.7;0.0
05;49;2022-05-01;14827;14656;10690;0;17800.0;83.3;82.3;60.1;0.0
05;59;2022-05-01;17672;17514;14432;0;20029.0;88.2;87.4;72.1;0.0
05;09;2022-05-01;131;103;0;0;8021.0;1.6;1.3;0.0;0.0
05;64;2022-05-01;9113;9049;7932;162;10157.0;89.7;89.1;78.1;1.6
05;69;2022-05-01;9036;8983;8154;220;10059.0;89.8;89.3;81.1;2.2
05;74;2022-05-01;8743;8700;8040;259;8831.0;99.0;98.5;91.0;2.9
05;79;2022-05-01;5770;5731;5318;502;5786.0;99.0;99.0;91.9;8.7
05;80;2022-05-01;9290;9146;8034;1493;11099.0;83.7;82.4;72.4;13.5
06;04;2022-05-01;38;19;2;0;53718.0;0.1;0.0;0.0;0.0
06;11;2022-05-01;1273;1045;60;0;23848.0;5.3;4.4;0.3;0.0
06;17;2022-05-01;48693;47047;7894;0;69129.0;70.4;68.1;11.4;0.0
06;24;2022-05-01;70836;69347;43976;0;75754.0;93.5;91.5;58.1;0.0
06;29;2022-05-01;49521;48583;30473;0;53360.0;92.8;91.0;57.1;0.0
06;39;2022-05-01;111127;109279;71149;0;126997.0;87.5;86.0;56.0;0.0
06;49;2022-05-01;122407;120953;88862;0;136067.0;90.0;88.9;65.3;0.0
06;59;2022-05-01;137809;136594;112441;0;146182.0;94.3;93.4;76.9;0.0
06;09;2022-05-01;919;734;12;0;56870.0;1.6;1.3;0.0;0.0
06;64;2022-05-01;63922;63464;54830;1271;67948.0;94.1;93.4;80.7;1.9
06;69;2022-05-01;60817;60445;53921;1862;65935.0;92.2;91.7;81.8;2.8
06;74;2022-05-01;62799;62400;56780;2626;64545.0;97.3;96.7;88.0;4.1
06;79;2022-05-01;47812;47460;43117;4408;49474.0;96.6;95.9;87.2;8.9
06;80;2022-05-01;78702;77304;66597;11747;89569.0;87.9;86.3;74.4;13.1
07;04;2022-05-01;3;1;1;0;15100.0;0.0;0.0;0.0;0.0
07;11;2022-05-01;552;452;12;0;7531.0;7.3;6.0;0.2;0.0
07;17;2022-05-01;18111;17642;3179;0;23408.0;77.4;75.4;13.6;0.0
07;24;2022-05-01;20728;20457;13657;0;18892.0;99.0;99.0;72.3;0.0
07;29;2022-05-01;11392;11257;7105;0;13765.0;82.8;81.8;51.6;0.0
07;39;2022-05-01;27596;27250;17897;0;34837.0;79.2;78.2;51.4;0.0
07;49;2022-05-01;33842;33557;25186;0;41497.0;81.6;80.9;60.7;0.0
07;59;2022-05-01;40828;40559;34115;0;46663.0;87.5;86.9;73.1;0.0
07;09;2022-05-01;366;290;2;0;18154.0;2.0;1.6;0.0;0.0
07;64;2022-05-01;20597;20480;18074;369;23577.0;87.4;86.9;76.7;1.6
07;69;2022-05-01;20578;20494;18680;504;23453.0;87.7;87.4;79.6;2.1
07;74;2022-05-01;20392;20284;18690;618;21460.0;95.0;94.5;87.1;2.9
07;79;2022-05-01;13511;13426;12368;1133;13721.0;98.5;97.9;90.1;8.3
07;80;2022-05-01;21800;21438;18618;3167;24817.0;87.8;86.4;75.0;12.8
08;04;2022-05-01;7;2;0;0;13099.0;0.1;0.0;0.0;0.0
08;11;2022-05-01;638;536;10;0;6551.0;9.7;8.2;0.2;0.0
08;17;2022-05-01;18035;17663;4064;0;19588.0;92.1;90.2;20.7;0.0
08;24;2022-05-01;19616;19363;14202;0;18037.0;99.0;99.0;78.7;0.0
08;29;2022-05-01;11713;11565;8173;0;13085.0;89.5;88.4;62.5;0.0
08;39;2022-05-01;26627;26322;19619;0;30561.0;87.1;86.1;64.2;0.0
08;49;2022-05-01;29343;29147;23905;0;32888.0;89.2;88.6;72.7;0.0
08;59;2022-05-01;34505;34329;30123;0;37571.0;91.8;91.4;80.2;0.0
08;09;2022-05-01;502;414;1;0;15286.0;3.3;2.7;0.0;0.0
08;64;2022-05-01;16918;16828;15166;389;18636.0;90.8;90.3;81.4;2.1
08;69;2022-05-01;16378;16314;15062;504;17922.0;91.4;91.0;84.0;2.8
08;74;2022-05-01;15398;15294;14214;546;15463.0;99.0;98.9;91.9;3.5
08;79;2022-05-01;8505;8446;7764;781;8669.0;98.1;97.4;89.6;9.0
08;80;2022-05-01;15343;15103;13083;2528;18175.0;84.4;83.1;72.0;13.9
09;04;2022-05-01;3;2;0;0;6587.0;0.0;0.0;0.0;0.0
09;11;2022-05-01;235;193;10;0;3388.0;6.9;5.7;0.3;0.0
09;17;2022-05-01;7764;7559;1467;0;10191.0;76.2;74.2;14.4;0.0
09;24;2022-05-01;9105;8957;6084;0;9110.0;99.0;98.3;66.8;0.0
09;29;2022-05-01;5238;5154;3428;0;6679.0;78.4;77.2;51.3;0.0
09;39;2022-05-01;11925;11731;7843;0;15798.0;75.5;74.3;49.6;0.0
09;49;2022-05-01;15161;14988;11505;0;18797.0;80.7;79.7;61.2;0.0
09;59;2022-05-01;18158;18026;15101;0;21635.0;83.9;83.3;69.8;0.0
09;09;2022-05-01;146;109;0;0;7745.0;1.9;1.4;0.0;0.0
09;64;2022-05-01;9815;9744;8514;193;11336.0;86.6;86.0;75.1;1.7
09;69;2022-05-01;9981;9939;8907;239;11303.0;88.3;87.9;78.8;2.1
09;74;2022-05-01;9573;9520;8685;286;10028.0;95.5;94.9;86.6;2.9
09;79;2022-05-01;6317;6273;5616;425;6375.0;99.0;98.4;88.1;6.7
09;80;2022-05-01;11020;10842;9122;1268;13426.0;82.1;80.8;67.9;9.4
10;04;2022-05-01;3;2;1;0;16179.0;0.0;0.0;0.0;0.0
10;11;2022-05-01;991;796;6;0;8186.0;12.1;9.7;0.1;0.0
10;17;2022-05-01;19500;19157;3734;0;23738.0;82.1;80.7;15.7;0.0
10;24;2022-05-01;22191;21875;15590;0;24096.0;92.1;90.8;64.7;0.0
10;29;2022-05-01;13684;13505;9648;0;16549.0;82.7;81.6;58.3;0.0
10;39;2022-05-01;29657;29348;21598;0;36584.0;81.1;80.2;59.0;0.0
10;49;2022-05-01;33188;32962;26709;0;38394.0;86.4;85.9;69.6;0.0
10;59;2022-05-01;36425;36270;31869;0;39551.0;92.1;91.7;80.6;0.0
10;09;2022-05-01;776;619;1;0;18930.0;4.1;3.3;0.0;0.0
10;64;2022-05-01;17691;17612;15861;435;19401.0;91.2;90.8;81.8;2.2
10;69;2022-05-01;17611;17526;16125;432;19343.0;91.0;90.6;83.4;2.2
10;74;2022-05-01;17527;17458;16181;527;17592.0;99.0;99.0;92.0;3.0
10;79;2022-05-01;10499;10447;9635;834;10554.0;99.0;99.0;91.3;7.9
10;80;2022-05-01;18203;17953;15515;2789;20810.0;87.5;86.3;74.6;13.4
11;04;2022-05-01;5;3;2;0;16558.0;0.0;0.0;0.0;0.0
11;11;2022-05-01;509;406;9;0;8794.0;5.8;4.6;0.1;0.0
11;17;2022-05-01;20214;19705;3657;0;25657.0;78.8;76.8;14.3;0.0
11;24;2022-05-01;23387;22941;15343;0;22902.0;99.0;99.0;67.0;0.0
11;29;2022-05-01;13520;13230;8620;0;15409.0;87.7;85.9;55.9;0.0
11;39;2022-05-01;31014;30505;20549;0;39384.0;78.7;77.5;52.2;0.0
11;49;2022-05-01;38660;38233;29235;0;45681.0;84.6;83.7;64.0;0.0
11;59;2022-05-01;46213;45940;38744;0;51248.0;90.2;89.6;75.6;0.0
11;09;2022-05-01;349;280;0;0;20110.0;1.7;1.4;0.0;0.0
11;64;2022-05-01;23400;23264;20581;459;26525.0;88.2;87.7;77.6;1.7
11;69;2022-05-01;24561;24439;22174;621;27686.0;88.7;88.3;80.1;2.2
11;74;2022-05-01;25031;24887;22837;768;25828.0;96.9;96.4;88.4;3.0
11;79;2022-05-01;16772;16628;15118;1277;16823.0;99.0;98.8;89.9;7.6
11;80;2022-05-01;25405;24991;21493;3476;30100.0;84.4;83.0;71.4;11.5
12;04;2022-05-01;7;1;0;0;11791.0;0.1;0.0;0.0;0.0
12;11;2022-05-01;386;287;9;0;6137.0;6.3;4.7;0.1;0.0
12;17;2022-05-01;15238;14786;2176;0;18532.0;82.2;79.8;11.7;0.0
12;24;2022-05-01;17658;17406;11689;0;16356.0;99.0;99.0;71.5;0.0
12;29;2022-05-01;9987;9829;6388;0;11329.0;88.2;86.8;56.4;0.0
12;39;2022-05-01;23014;22700;15402;0;28724.0;80.1;79.0;53.6;0.0
12;49;2022-05-01;28431;28175;21525;0;33377.0;85.2;84.4;64.5;0.0
12;59;2022-05-01;34683;34502;29409;0;39683.0;87.4;86.9;74.1;0.0
12;09;2022-05-01;225;156;0;0;14098.0;1.6;1.1;0.0;0.0
12;64;2022-05-01;17888;17823;15985;283;20219.0;88.5;88.1;79.1;1.4
12;69;2022-05-01;18123;18062;16683;317;20502.0;88.4;88.1;81.4;1.5
12;74;2022-05-01;18338;18254;16938;413;18733.0;97.9;97.4;90.4;2.2
12;79;2022-05-01;12054;11986;11111;781;12213.0;98.7;98.1;91.0;6.4
12;80;2022-05-01;23393;23058;20197;3003;26666.0;87.7;86.5;75.7;11.3
13;04;2022-05-01;57;21;0;0;115829.0;0.0;0.0;0.0;0.0
13;11;2022-05-01;2516;2038;68;0;48590.0;5.2;4.2;0.1;0.0
13;17;2022-05-01;91981;88805;15321;0;143381.0;64.2;61.9;10.7;0.0
13;24;2022-05-01;133535;130239;80256;0;166869.0;80.0;78.0;48.1;0.0
13;29;2022-05-01;93908;91813;55989;0;113164.0;83.0;81.1;49.5;0.0
13;39;2022-05-01;208925;204854;129655;0;254362.0;82.1;80.5;51.0;0.0
13;49;2022-05-01;227208;224190;160586;0;256640.0;88.5;87.4;62.6;0.0
13;59;2022-05-01;244233;241920;194457;0;265649.0;91.9;91.1;73.2;0.0
13;09;2022-05-01;1838;1452;16;0;122467.0;1.5;1.2;0.0;0.0
13;64;2022-05-01;110143;109328;92843;2404;120563.0;91.4;90.7;77.0;2.0
13;69;2022-05-01;101090;100420;88285;2722;115967.0;87.2;86.6;76.1;2.3
13;74;2022-05-01;98181;97524;87335;3694;105855.0;92.8;92.1;82.5;3.5
13;79;2022-05-01;71120;70567;63029;5755;76830.0;92.6;91.8;82.0;7.5
13;80;2022-05-01;108613;106651;89940;15658;128303.0;84.7;83.1;70.1;12.2
14;04;2022-05-01;11;2;0;0;32713.0;0.0;0.0;0.0;0.0
14;11;2022-05-01;1898;1580;25;0;16901.0;11.2;9.3;0.1;0.0
14;17;2022-05-01;48484;47497;10012;0;52063.0;93.1;91.2;19.2;0.0
14;24;2022-05-01;57003;56420;43109;0;60987.0;93.5;92.5;70.7;0.0
14;29;2022-05-01;35487;35073;26407;0;34960.0;99.0;99.0;75.5;0.0
14;39;2022-05-01;74752;74016;57063;0;78671.0;95.0;94.1;72.5;0.0
14;49;2022-05-01;81069;80526;67699;0;84964.0;95.4;94.8;79.7;0.0
14;59;2022-05-01;85833;85440;76504;0;89285.0;96.1;95.7;85.7;0.0
14;09;2022-05-01;1617;1304;2;0;39456.0;4.1;3.3;0.0;0.0
14;64;2022-05-01;42689;42533;38979;1187;45437.0;94.0;93.6;85.8;2.6
14;69;2022-05-01;43204;43052;40169;1265;45564.0;94.8;94.5;88.2;2.8
14;74;2022-05-01;41288;41107;38559;1453;39971.0;99.0;99.0;96.5;3.6
14;79;2022-05-01;24223;24070;22507;2386;23384.0;99.0;99.0;96.2;10.2
14;80;2022-05-01;42423;41773;36781;7843;47097.0;90.1;88.7;78.1;16.7
15;04;2022-05-01;1;0;0;0;5285.0;0.0;0.0;0.0;0.0
15;11;2022-05-01;263;191;7;0;2969.0;8.9;6.4;0.2;0.0
15;17;2022-05-01;8321;8101;1561;0;9080.0;91.6;89.2;17.2;0.0
15;24;2022-05-01;9023;8955;6645;0;8091.0;99.0;99.0;82.1;0.0
15;29;2022-05-01;5248;5202;3778;0;5406.0;97.1;96.2;69.9;0.0
15;39;2022-05-01;12478;12399;9502;0;14131.0;88.3;87.7;67.2;0.0
15;49;2022-05-01;15402;15337;12806;0;17202.0;89.5;89.2;74.4;0.0
15;59;2022-05-01;19088;19013;16887;0;21195.0;90.1;89.7;79.7;0.0
15;09;2022-05-01;207;162;0;0;6563.0;3.2;2.5;0.0;0.0
15;64;2022-05-01;10290;10240;9305;234;11135.0;92.4;92.0;83.6;2.1
15;69;2022-05-01;10538;10485;9737;244;11435.0;92.2;91.7;85.2;2.1
15;74;2022-05-01;10003;9968;9293;282;10127.0;98.8;98.4;91.8;2.8
15;79;2022-05-01;6339;6300;5836;466;6453.0;98.2;97.6;90.4;7.2
15;80;2022-05-01;12053;11893;10210;1604;13739.0;87.7;86.6;74.3;11.7
16;04;2022-05-01;5;1;0;0;15081.0;0.0;0.0;0.0;0.0
16;11;2022-05-01;799;614;13;0;7841.0;10.2;7.8;0.2;0.0
16;17;2022-05-01;21111;20670;4294;0;23113.0;91.3;89.4;18.6;0.0
16;24;2022-05-01;23697;23371;16739;0;22805.0;99.0;99.0;73.4;0.0
16;29;2022-05-01;14563;14330;10180;0;16488.0;88.3;86.9;61.7;0.0
16;39;2022-05-01;32370;31975;23438;0;37221.0;87.0;85.9;63.0;0.0
16;49;2022-05-01;37641;37374;30351;0;42419.0;88.7;88.1;71.6;0.0
16;59;2022-05-01;45250;45038;39916;0;48767.0;92.8;92.4;81.9;0.0
16;09;2022-05-01;676;537;0;0;18130.0;3.7;3.0;0.0;0.0
16;64;2022-05-01;23615;23518;21560;680;25626.0;92.2;91.8;84.1;2.7
16;69;2022-05-01;23720;23624;22073;694;25227.0;94.0;93.6;87.5;2.8
16;74;2022-05-01;22685;22562;21239;753;22007.0;99.0;99.0;96.5;3.4
16;79;2022-05-01;14334;14249;13350;1274;14324.0;99.0;99.0;93.2;8.9
16;80;2022-05-01;25782;25423;22397;4028;29131.0;88.5;87.3;76.9;13.8
17;04;2022-05-01;14;1;0;0;26217.0;0.1;0.0;0.0;0.0
17;11;2022-05-01;1040;822;7;0;14224.0;7.3;5.8;0.0;0.0
