reg;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel
01;04;2022-04-06;17;9;3;0.0;18024.0;0.1;0.0;0.0;0.0
01;11;2022-04-06;145;110;12;0.0;9848.0;1.5;1.1;0.1;0.0
01;17;2022-04-06;8221;7771;1081;0.0;31305.0;26.3;24.8;3.5;0.0
01;24;2022-04-06;12964;12122;5303;0.0;27093.0;47.8;44.7;19.6;0.0
01;29;2022-04-06;6632;6211;2843;0.0;16795.0;39.5;37.0;16.9;0.0
01;39;2022-04-06;16480;15704;8068;0.0;37149.0;44.4;42.3;21.7;0.0
01;49;2022-04-06;21771;20959;12035;0.0;48928.0;44.5;42.8;24.6;0.0
01;59;2022-04-06;28577;27564;17200;0.0;60524.0;47.2;45.5;28.4;0.0
01;09;2022-04-06;100;66;1;0.0;22110.0;0.5;0.3;0.0;0.0
01;64;2022-04-06;13467;13040;8636;0.0;27495.0;49.0;47.4;31.4;0.0
01;69;2022-04-06;12521;12198;8671;0.0;23618.0;53.0;51.6;36.7;0.0
01;74;2022-04-06;10782;10509;7376;0.0;19823.0;54.4;53.0;37.2;0.0
01;79;2022-04-06;7585;7366;5100;0.0;13239.0;57.3;55.6;38.5;0.0
01;80;2022-04-06;8405;8024;4848;98.0;20928.0;40.2;38.3;23.2;0.5
02;04;2022-04-06;18;8;8;0.0;15550.0;0.1;0.1;0.1;0.0
02;11;2022-04-06;173;144;4;0.0;8430.0;2.1;1.7;0.0;0.0
02;17;2022-04-06;7839;7452;1053;0.0;26182.0;29.9;28.5;4.0;0.0
02;24;2022-04-06;11825;11044;4880;0.0;24337.0;48.6;45.4;20.1;0.0
02;29;2022-04-06;6405;6049;2811;0.0;15561.0;41.2;38.9;18.1;0.0
02;39;2022-04-06;16780;16046;8537;0.0;34280.0;48.9;46.8;24.9;0.0
02;49;2022-04-06;20123;19413;11809;0.0;42967.0;46.8;45.2;27.5;0.0
02;59;2022-04-06;28800;27905;18103;0.0;62671.0;46.0;44.5;28.9;0.0
02;09;2022-04-06;118;89;0;0.0;18441.0;0.6;0.5;0.0;0.0
02;64;2022-04-06;14455;14081;9742;0.0;28516.0;50.7;49.4;34.2;0.0
02;69;2022-04-06;13030;12717;9460;0.0;24040.0;54.2;52.9;39.4;0.0
02;74;2022-04-06;11009;10790;8105;0.0;19607.0;56.1;55.0;41.3;0.0
02;79;2022-04-06;7620;7454;5502;0.0;13902.0;54.8;53.6;39.6;0.0
02;80;2022-04-06;9704;9372;6283;124.0;24265.0;40.0;38.6;25.9;0.5
03;04;2022-04-06;44;21;0;0.0;32085.0;0.1;0.1;0.0;0.0
03;11;2022-04-06;312;245;4;0.0;12235.0;2.6;2.0;0.0;0.0
03;17;2022-04-06;8958;7817;1064;0.0;35925.0;24.9;21.8;3.0;0.0
03;24;2022-04-06;12719;11122;4209;0.0;30954.0;41.1;35.9;13.6;0.0
03;29;2022-04-06;8231;7273;2799;0.0;19945.0;41.3;36.5;14.0;0.0
03;39;2022-04-06;18956;17032;7494;0.0;39602.0;47.9;43.0;18.9;0.0
03;49;2022-04-06;17688;16164;8105;0.0;34757.0;50.9;46.5;23.3;0.0
03;59;2022-04-06;15316;14158;8178;0.0;27026.0;56.7;52.4;30.3;0.0
03;09;2022-04-06;333;252;2;0.0;29958.0;1.1;0.8;0.0;0.0
03;64;2022-04-06;5562;5246;3220;0.0;10200.0;54.5;51.4;31.6;0.0
03;69;2022-04-06;3872;3642;2290;0.0;7246.0;53.4;50.3;31.6;0.0
03;74;2022-04-06;2499;2367;1455;0.0;4665.0;53.6;50.7;31.2;0.0
03;79;2022-04-06;1415;1345;848;0.0;2703.0;52.3;49.8;31.4;0.0
03;80;2022-04-06;1246;1162;685;10.0;3390.0;36.8;34.3;20.2;0.3
04;04;2022-04-06;41;14;5;0.0;57908.0;0.1;0.0;0.0;0.0
04;11;2022-04-06;1117;866;27;0.0;27281.0;4.1;3.2;0.1;0.0
04;17;2022-04-06;54087;51599;7092;0.0;82143.0;65.8;62.8;8.6;0.0
04;24;2022-04-06;63609;61365;31078;0.0;74456.0;85.4;82.4;41.7;0.0
04;29;2022-04-06;37137;35990;18820;0.0;48787.0;76.1;73.8;38.6;0.0
04;39;2022-04-06;86665;84667;49541;0.0;104568.0;82.9;81.0;47.4;0.0
04;49;2022-04-06;93717;92158;61742;0.0;113615.0;82.5;81.1;54.3;0.0
04;59;2022-04-06;102353;100971;74064;0.0;125597.0;81.5;80.4;59.0;0.0
04;09;2022-04-06;781;578;1;0.0;63783.0;1.2;0.9;0.0;0.0
04;64;2022-04-06;41267;40765;31674;0.0;49376.0;83.6;82.6;64.1;0.0
04;69;2022-04-06;34157;33777;26967;0.0;40475.0;84.4;83.5;66.6;0.0
04;74;2022-04-06;23909;23628;18828;0.0;27194.0;87.9;86.9;69.2;0.0
04;79;2022-04-06;15749;15562;11938;0.0;19499.0;80.8;79.8;61.2;0.0
04;80;2022-04-06;18306;17932;12837;436.0;25277.0;72.4;70.9;50.8;1.7
06;04;2022-04-06;106;44;2;0.0;43940.0;0.2;0.1;0.0;0.0
06;11;2022-04-06;351;212;1;0.0;15296.0;2.3;1.4;0.0;0.0
06;17;2022-04-06;26484;19954;920;0.0;41197.0;64.3;48.4;2.2;0.0
06;24;2022-04-06;26644;22124;4178;0.0;26827.0;99.0;82.5;15.6;0.0
06;29;2022-04-06;17420;14853;3139;0.0;18625.0;93.5;79.7;16.9;0.0
06;39;2022-04-06;34428;30438;8114;0.0;37697.0;91.3;80.7;21.5;0.0
06;49;2022-04-06;27630;25148;9101;0.0;28132.0;98.2;89.4;32.4;0.0
06;59;2022-04-06;15762;14547;6771;0.0;14768.0;99.0;98.5;45.8;0.0
06;09;2022-04-06;123;68;1;0.0;41023.0;0.3;0.2;0.0;0.0
06;64;2022-04-06;4698;4368;2151;0.0;4594.0;99.0;95.1;46.8;0.0
06;69;2022-04-06;2963;2738;1300;0.0;3152.0;94.0;86.9;41.2;0.0
06;74;2022-04-06;1715;1553;648;0.0;1775.0;96.6;87.5;36.5;0.0
06;79;2022-04-06;895;788;286;0.0;1259.0;71.1;62.6;22.7;0.0
06;80;2022-04-06;767;645;208;1.0;1186.0;64.7;54.4;17.5;0.1
07;04;2022-04-06;5;5;3;0.0;517.0;1.0;1.0;0.6;0.0
07;11;2022-04-06;14;11;2;0.0;183.0;7.7;6.0;1.1;0.0
07;17;2022-04-06;354;334;86;0.0;540.0;65.6;61.9;15.9;0.0
07;24;2022-04-06;692;652;372;0.0;757.0;91.4;86.1;49.1;0.0
07;29;2022-04-06;854;816;522;0.0;960.0;89.0;85.0;54.4;0.0
07;39;2022-04-06;1869;1808;1144;0.0;1752.0;99.0;99.0;65.3;0.0
07;49;2022-04-06;1740;1690;1100;0.0;1808.0;96.2;93.5;60.8;0.0
07;59;2022-04-06;1702;1661;1183;0.0;1548.0;99.0;99.0;76.4;0.0
07;09;2022-04-06;5;3;1;0.0;517.0;1.0;0.6;0.2;0.0
07;64;2022-04-06;506;490;355;0.0;433.0;99.0;99.0;82.0;0.0
07;69;2022-04-06;353;339;264;0.0;309.0;99.0;99.0;85.4;0.0
07;74;2022-04-06;242;233;177;0.0;251.0;96.4;92.8;70.5;0.0
07;79;2022-04-06;163;161;121;0.0;170.0;95.9;94.7;71.2;0.0
07;80;2022-04-06;133;128;91;9.0;216.0;61.6;59.3;42.1;4.2
08;04;2022-04-06;10;4;0;0.0;2722.2;0.4;0.1;0.0;0.0
08;11;2022-04-06;26;20;3;0.0;1223.3;2.1;1.6;0.2;0.0
08;17;2022-04-06;869;799;113;0.0;3969.8;21.9;20.1;2.8;0.0
08;24;2022-04-06;1271;1169;438;0.0;2459.1;51.7;47.5;17.8;0.0
08;29;2022-04-06;877;808;258;0.0;2086.3;42.0;38.7;12.4;0.0
08;39;2022-04-06;2397;2231;832;0.0;4598.4;52.1;48.5;18.1;0.0
