fra;semaine;nb_pos;nb_crib;tx_crib;nb_A0;nb_A1;tx_A1;nb_C0;nb_C1;tx_C1;nb_D0;nb_D1;tx_D1;nb_A0C0;nb_A01C01;tx_A0C0
FR;2021-11-01-2021-11-07;63074.00;209.00;0.33;189.00;0.00;0.00;6.00;183.00;96.83;10.00;1.00;9.09;6.00;189.00;3.17
FR;2021-11-02-2021-11-08;78297.00;302.00;0.39;278.00;0.00;0.00;7.00;272.00;97.49;12.00;1.00;7.69;7.00;278.00;2.52
FR;2021-11-03-2021-11-09;77582.00;359.00;0.46;333.00;0.00;0.00;8.00;327.00;97.61;11.00;0.00;0.00;7.00;333.00;2.10
FR;2021-11-04-2021-11-10;81376.00;458.00;0.56;425.00;0.00;0.00;13.00;414.00;96.96;9.00;1.00;10.00;12.00;425.00;2.82
FR;2021-11-05-2021-11-11;73820.00;438.00;0.59;409.00;0.00;0.00;13.00;398.00;96.84;15.00;1.00;6.25;12.00;409.00;2.93
FR;2021-11-06-2021-11-12;82748.00;498.00;0.60;470.00;0.00;0.00;17.00;455.00;96.40;25.00;2.00;7.41;16.00;470.00;3.40
FR;2021-11-07-2021-11-13;86392.00;544.00;0.63;513.00;0.00;0.00;18.00;497.00;96.50;29.00;2.00;6.45;17.00;513.00;3.31
FR;2021-11-08-2021-11-14;87473.00;565.00;0.65;533.00;0.00;0.00;18.00;517.00;96.64;30.00;2.00;6.25;17.00;533.00;3.19
FR;2021-11-09-2021-11-15;98212.00;837.00;0.85;789.00;0.00;0.00;23.00;771.00;97.10;36.00;2.00;5.26;22.00;788.00;2.79
FR;2021-11-10-2021-11-16;108064.00;1185.00;1.10;1122.00;0.00;0.00;22.00;1106.00;98.05;39.00;2.00;4.88;22.00;1121.00;1.96
FR;2021-11-11-2021-11-17;117764.00;1509.00;1.28;1440.00;0.00;0.00;18.00;1432.00;98.76;45.00;1.00;2.17;18.00;1439.00;1.25
FR;2021-11-12-2021-11-18;140455.00;1573.00;1.12;1494.00;0.00;0.00;21.00;1484.00;98.60;42.00;1.00;2.33;21.00;1493.00;1.41
FR;2021-11-13-2021-11-19;148077.00;1602.00;1.08;1518.00;0.00;0.00;21.00;1509.00;98.63;34.00;1.00;2.86;21.00;1516.00;1.39
FR;2021-11-14-2021-11-20;156318.00;1593.00;1.02;1510.00;0.00;0.00;21.00;1500.00;98.62;35.00;1.00;2.78;21.00;1507.00;1.39
FR;2021-11-15-2021-11-21;157967.00;1621.00;1.03;1524.00;0.00;0.00;22.00;1515.00;98.57;41.00;1.00;2.38;22.00;1521.00;1.45
FR;2021-11-16-2021-11-22;174184.00;2595.00;1.49;2315.00;10.00;0.43;59.00;2306.00;97.51;51.00;1.00;1.92;57.00;2321.00;2.46
FR;2021-11-17-2021-11-23;188854.00;2539.00;1.34;2211.00;11.00;0.50;68.00;2204.00;97.01;62.00;1.00;1.59;66.00;2218.00;2.98
FR;2021-11-18-2021-11-24;204686.00;2785.00;1.36;2371.00;12.00;0.50;91.00;2346.00;96.27;75.00;2.00;2.60;88.00;2375.00;3.71
FR;2021-11-19-2021-11-25;221334.00;4058.00;1.83;3456.00;12.00;0.35;142.00;3393.00;95.98;120.00;8.00;6.25;139.00;3455.00;4.02
FR;2021-11-20-2021-11-26;238801.00;6121.00;2.56;5214.00;14.00;0.27;193.00;5110.00;96.36;183.00;11.00;5.67;187.00;5211.00;3.59
FR;2021-11-21-2021-11-27;250300.00;7639.00;3.05;6533.00;19.00;0.29;263.00;6364.00;96.03;233.00;16.00;6.43;256.00;6527.00;3.92
FR;2021-11-22-2021-11-28;253181.00;8095.00;3.20;6904.00;19.00;0.27;286.00;6713.00;95.91;282.00;21.00;6.93;278.00;6898.00;4.03
FR;2021-11-23-2021-11-29;279778.00;15644.00;5.59;13634.00;61.00;0.45;485.00;13286.00;96.48;487.00;33.00;6.35;474.00;13668.00;3.47
FR;2021-11-24-2021-11-30;300961.00;26264.00;8.73;23073.00;69.00;0.30;774.00;22468.00;96.67;851.00;45.00;5.02;762.00;23110.00;3.30
FR;2021-11-25-2021-12-01;319778.00;37921.00;11.86;33469.00;86.00;0.26;984.00;32728.00;97.08;1227.00;64.00;4.96;971.00;33525.00;2.90
FR;2021-11-26-2021-12-02;340101.00;50197.00;14.76;44347.00;96.00;0.22;1197.00;43468.00;97.32;2152.00;102.00;4.53;1183.00;44416.00;2.66
FR;2021-11-27-2021-12-03;358762.00;62570.00;17.44;55285.00;103.00;0.19;1442.00;54233.00;97.41;3191.00;141.00;4.23;1430.00;55360.00;2.58
FR;2021-11-28-2021-12-04;370023.00;68987.00;18.64;60882.00;106.00;0.17;1545.00;59780.00;97.48;3745.00;152.00;3.90;1532.00;60965.00;2.51
FR;2021-11-29-2021-12-05;372761.00;70605.00;18.94;62253.00;108.00;0.17;1569.00;61136.00;97.50;4000.00;156.00;3.75;1557.00;62336.00;2.50
