fra;semaine_glissante;pop;P;T
FR;2020-05-13-2020-05-19;67114995;5579;257344
FR;2020-05-14-2020-05-20;67114995;5736;270878
FR;2020-05-15-2020-05-21;67114995;4918;237978
FR;2020-05-16-2020-05-22;67114995;4698;240573
FR;2020-05-17-2020-05-23;67114995;4673;243000
FR;2020-05-18-2020-05-24;67114995;4677;243539
FR;2020-05-19-2020-05-25;67114995;4265;243460
FR;2020-05-20-2020-05-26;67114995;3985;244377
FR;2020-05-21-2020-05-27;67114995;3656;237583
FR;2020-05-22-2020-05-28;67114995;4104;271979
FR;2020-05-23-2020-05-29;67114995;3876;270983
FR;2020-05-24-2020-05-30;67114995;3980;272428
FR;2020-05-25-2020-05-31;67114995;4024;273803
FR;2020-05-26-2020-06-01;67114995;3488;232332
FR;2020-05-27-2020-06-02;67114995;3455;227239
FR;2020-05-28-2020-06-03;67114995;3401;225571
FR;2020-05-29-2020-06-04;67114995;3388;222561
FR;2020-05-30-2020-06-05;67114995;3356;219797
FR;2020-05-31-2020-06-06;67114995;3280;219210
FR;2020-06-01-2020-06-07;67114995;3230;218244
FR;2020-06-02-2020-06-08;67114995;3619;252886
FR;2020-06-03-2020-06-09;67114995;3451;247545
FR;2020-06-04-2020-06-10;67114995;3340;243407
FR;2020-06-05-2020-06-11;67114995;3335;240647
FR;2020-06-06-2020-06-12;67114995;3384;238504
FR;2020-06-07-2020-06-13;67114995;3305;238013
FR;2020-06-08-2020-06-14;67114995;3301;237095
FR;2020-06-09-2020-06-15;67114995;3237;235376
FR;2020-06-10-2020-06-16;67114995;3233;234495
FR;2020-06-11-2020-06-17;67114995;3413;234090
FR;2020-06-12-2020-06-18;67114995;3367;233424
FR;2020-06-13-2020-06-19;67114995;3452;234908
FR;2020-06-14-2020-06-20;67114995;3587;237516
FR;2020-06-15-2020-06-21;67114995;3566;237332
FR;2020-06-16-2020-06-22;67114995;3667;241687
FR;2020-06-17-2020-06-23;67114995;3755;247064
FR;2020-06-18-2020-06-24;67114995;3680;252489
FR;2020-06-19-2020-06-25;67114995;3612;254446
FR;2020-06-20-2020-06-26;67114995;3491;259692
FR;2020-06-21-2020-06-27;67114995;3478;262688
FR;2020-06-22-2020-06-28;67114995;3579;264367
FR;2020-06-23-2020-06-29;67114995;3653;277319
FR;2020-06-24-2020-06-30;67114995;3723;288494
FR;2020-06-25-2020-07-01;67114995;3686;300037
FR;2020-06-26-2020-07-02;67114995;3766;315092
FR;2020-06-27-2020-07-03;67114995;3936;328297
FR;2020-06-28-2020-07-04;67114995;3950;332909
FR;2020-06-29-2020-07-05;67114995;3839;333195
FR;2020-06-30-2020-07-06;67114995;3844;338249
FR;2020-07-01-2020-07-07;67114995;3685;344955
FR;2020-07-02-2020-07-08;67114995;3754;352691
FR;2020-07-03-2020-07-09;67114995;3870;366562
FR;2020-07-04-2020-07-10;67114995;3977;379387
FR;2020-07-05-2020-07-11;67114995;3978;382856
FR;2020-07-06-2020-07-12;67114995;3992;382843
FR;2020-07-07-2020-07-13;67114995;4191;395706
FR;2020-07-08-2020-07-14;67114995;3803;342513
FR;2020-07-09-2020-07-15;67114995;3958;357383
FR;2020-07-10-2020-07-16;67114995;4228;372945
FR;2020-07-11-2020-07-17;67114995;4337;390109
FR;2020-07-12-2020-07-18;67114995;4428;398097
FR;2020-07-13-2020-07-19;67114995;4503;401552
FR;2020-07-14-2020-07-20;67114995;4660;413571
FR;2020-07-15-2020-07-21;67114995;5576;489395
FR;2020-07-16-2020-07-22;67114995;5891;498213
FR;2020-07-17-2020-07-23;67114995;6066;502091
FR;2020-07-18-2020-07-24;67114995;6379;504328
FR;2020-07-19-2020-07-25;67114995;6561;507289
FR;2020-07-20-2020-07-26;67114995;6633;509895
FR;2020-07-21-2020-07-27;67114995;7029;519494
FR;2020-07-22-2020-07-28;67114995;7299;534134
FR;2020-07-23-2020-07-29;67114995;7603;552805
FR;2020-07-24-2020-07-30;67114995;8003;570142
FR;2020-07-25-2020-07-31;67114995;8363;583938
FR;2020-07-26-2020-08-01;67114995;8530;588306
FR;2020-07-27-2020-08-02;67114995;8516;589748
FR;2020-07-28-2020-08-03;67114995;9106;598863
FR;2020-07-29-2020-08-04;67114995;9750;601085
FR;2020-07-30-2020-08-05;67114995;10237;599714
FR;2020-07-31-2020-08-06;67114995;10849;604155
FR;2020-08-01-2020-08-07;67114995;11514;606069
FR;2020-08-02-2020-08-08;67114995;11727;608401
FR;2020-08-03-2020-08-09;67114995;11919;609045
FR;2020-08-04-2020-08-10;67114995;12737;611435
FR;2020-08-05-2020-08-11;67114995;13418;610552
FR;2020-08-06-2020-08-12;67114995;14349;614807
FR;2020-08-07-2020-08-13;67114995;15732;626259
FR;2020-08-08-2020-08-14;67114995;17313;647511
FR;2020-08-09-2020-08-15;67114995;17076;625560
FR;2020-08-10-2020-08-16;67114995;17323;630278
FR;2020-08-11-2020-08-17;67114995;19507;666294
FR;2020-08-12-2020-08-18;67114995;21550;703976
FR;2020-08-13-2020-08-19;67114995;23509;737547
FR;2020-08-14-2020-08-20;67114995;25100;770470
FR;2020-08-15-2020-08-21;67114995;26355;803424
FR;2020-08-16-2020-08-22;67114995;27824;845285
