dep;jour;n_dose1;n_complet;n_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;couv_dose1;couv_complet;couv_rappel
01;2020-12-27;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-28;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-29;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-30;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-31;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-01;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-02;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-03;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-04;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-05;10;2;0;10;2;0;0.0;0.0;0.0
01;2021-01-06;21;0;0;31;2;0;0.0;0.0;0.0
01;2021-01-07;112;0;0;143;2;0;0.0;0.0;0.0
01;2021-01-08;234;0;0;377;2;0;0.1;0.0;0.0
01;2021-01-09;30;1;0;407;3;0;0.1;0.0;0.0
01;2021-01-10;0;0;0;407;3;0;0.1;0.0;0.0
01;2021-01-11;224;0;0;631;3;0;0.1;0.0;0.0
01;2021-01-12;408;1;0;1039;4;0;0.2;0.0;0.0
01;2021-01-13;535;1;0;1574;5;0;0.2;0.0;0.0
01;2021-01-14;638;6;0;2212;11;0;0.3;0.0;0.0
01;2021-01-15;536;4;0;2748;15;0;0.4;0.0;0.0
01;2021-01-16;222;0;0;2970;15;0;0.5;0.0;0.0
01;2021-01-17;127;0;0;3097;15;0;0.5;0.0;0.0
01;2021-01-18;529;5;0;3626;20;0;0.6;0.0;0.0
01;2021-01-19;1103;3;0;4729;23;0;0.7;0.0;0.0
01;2021-01-20;1349;4;0;6078;27;0;0.9;0.0;0.0
01;2021-01-21;1225;8;0;7303;35;0;1.1;0.0;0.0
01;2021-01-22;828;3;0;8131;38;0;1.2;0.0;0.0
01;2021-01-23;283;2;0;8414;40;0;1.3;0.0;0.0
01;2021-01-24;72;1;0;8486;41;0;1.3;0.0;0.0
01;2021-01-25;635;2;0;9121;43;0;1.4;0.0;0.0
01;2021-01-26;814;5;0;9935;48;0;1.5;0.0;0.0
01;2021-01-27;664;15;0;10599;63;0;1.6;0.0;0.0
01;2021-01-28;754;81;0;11353;144;0;1.7;0.0;0.0
01;2021-01-29;690;140;0;12043;284;0;1.8;0.0;0.0
01;2021-01-30;229;14;0;12272;298;0;1.9;0.0;0.0
01;2021-01-31;57;0;0;12329;298;0;1.9;0.0;0.0
01;2021-02-01;522;130;0;12851;428;0;2.0;0.1;0.0
01;2021-02-02;528;230;0;13379;658;0;2.0;0.1;0.0
01;2021-02-03;450;325;0;13829;983;0;2.1;0.1;0.0
01;2021-02-04;548;484;0;14377;1467;0;2.2;0.2;0.0
01;2021-02-05;471;337;0;14848;1804;0;2.3;0.3;0.0
01;2021-02-06;266;139;0;15114;1943;0;2.3;0.3;0.0
01;2021-02-07;6;103;0;15120;2046;0;2.3;0.3;0.0
01;2021-02-08;553;469;0;15673;2515;0;2.4;0.4;0.0
01;2021-02-09;810;907;0;16483;3422;0;2.5;0.5;0.0
01;2021-02-10;890;764;0;17373;4186;0;2.6;0.6;0.0
01;2021-02-11;852;882;0;18225;5068;0;2.8;0.8;0.0
01;2021-02-12;701;607;0;18926;5675;0;2.9;0.9;0.0
01;2021-02-13;201;175;0;19127;5850;0;2.9;0.9;0.0
01;2021-02-14;6;12;0;19133;5862;0;2.9;0.9;0.0
01;2021-02-15;447;534;0;19580;6396;0;3.0;1.0;0.0
01;2021-02-16;656;496;0;20236;6892;0;3.1;1.0;0.0
01;2021-02-17;534;390;0;20770;7282;0;3.2;1.1;0.0
01;2021-02-18;610;637;0;21380;7919;0;3.3;1.2;0.0
01;2021-02-19;601;332;0;21981;8251;0;3.3;1.3;0.0
01;2021-02-20;170;136;0;22151;8387;0;3.4;1.3;0.0
01;2021-02-21;2;0;0;22153;8387;0;3.4;1.3;0.0
01;2021-02-22;462;639;0;22615;9026;0;3.4;1.4;0.0
01;2021-02-23;484;669;0;23099;9695;0;3.5;1.5;0.0
01;2021-02-24;448;534;0;23547;10229;0;3.6;1.6;0.0
01;2021-02-25;839;693;0;24386;10922;0;3.7;1.7;0.0
01;2021-02-26;969;591;0;25355;11513;0;3.9;1.8;0.0
01;2021-02-27;449;112;0;25804;11625;0;3.9;1.8;0.0
01;2021-02-28;29;8;0;25833;11633;0;3.9;1.8;0.0
01;2021-03-01;651;505;0;26484;12138;0;4.0;1.8;0.0
01;2021-03-02;1065;590;0;27549;12728;0;4.2;1.9;0.0
01;2021-03-03;1072;673;0;28621;13401;0;4.4;2.0;0.0
01;2021-03-04;1380;664;0;30001;14065;0;4.6;2.1;0.0
01;2021-03-05;1517;548;0;31518;14613;0;4.8;2.2;0.0
01;2021-03-06;873;118;0;32391;14731;0;4.9;2.2;0.0
01;2021-03-07;97;3;0;32488;14734;0;4.9;2.2;0.0
01;2021-03-08;846;729;0;33334;15463;0;5.1;2.4;0.0
01;2021-03-09;1517;654;0;34851;16117;0;5.3;2.5;0.0
01;2021-03-10;1316;632;0;36167;16749;0;5.5;2.5;0.0
01;2021-03-11;1919;720;0;38086;17469;0;5.8;2.7;0.0
01;2021-03-12;2331;749;0;40417;18218;0;6.2;2.8;0.0
01;2021-03-13;1683;97;0;42100;18315;0;6.4;2.8;0.0
01;2021-03-14;280;59;0;42380;18374;0;6.5;2.8;0.0
01;2021-03-15;1278;474;0;43658;18848;0;6.6;2.9;0.0
01;2021-03-16;1224;558;0;44882;19406;0;6.8;3.0;0.0
01;2021-03-17;1111;361;0;45993;19767;0;7.0;3.0;0.0
01;2021-03-18;1492;553;0;47485;20320;0;7.2;3.1;0.0
01;2021-03-19;1890;579;0;49375;20899;0;7.5;3.2;0.0
01;2021-03-20;1449;108;0;50824;21007;0;7.7;3.2;0.0
01;2021-03-21;148;12;0;50972;21019;0;7.8;3.2;0.0
01;2021-03-22;1639;534;0;52611;21553;0;8.0;3.3;0.0
01;2021-03-23;2324;657;0;54935;22210;0;8.4;3.4;0.0
01;2021-03-24;1732;487;0;56667;22697;0;8.6;3.5;0.0
01;2021-03-25;3016;661;0;59683;23358;0;9.1;3.6;0.0
01;2021-03-26;3035;590;0;62718;23948;0;9.5;3.6;0.0
01;2021-03-27;1346;144;0;64064;24092;0;9.8;3.7;0.0
01;2021-03-28;79;9;0;64143;24101;0;9.8;3.7;0.0
01;2021-03-29;1932;648;0;66075;24749;0;10.1;3.8;0.0
01;2021-03-30;2539;830;0;68614;25579;0;10.4;3.9;0.0
01;2021-03-31;1970;808;0;70584;26387;0;10.7;4.0;0.0
01;2021-04-01;2721;946;0;73305;27333;0;11.2;4.2;0.0
01;2021-04-02;2920;834;0;76225;28167;0;11.6;4.3;0.0
01;2021-04-03;1356;214;0;77581;28381;0;11.8;4.3;0.0
01;2021-04-04;247;34;0;77828;28415;0;11.8;4.3;0.0
01;2021-04-05;1317;83;0;79145;28498;0;12.0;4.3;0.0
01;2021-04-06;2782;964;0;81927;29462;0;12.5;4.5;0.0
01;2021-04-07;2738;911;0;84665;30373;0;12.9;4.6;0.0
01;2021-04-08;3380;1205;0;88045;31578;0;13.4;4.8;0.0
01;2021-04-09;4034;1506;0;92079;33084;0;14.0;5.0;0.0
01;2021-04-10;1752;361;0;93831;33445;0;14.3;5.1;0.0
01;2021-04-11;156;109;0;93987;33554;0;14.3;5.1;0.0
01;2021-04-12;2728;1341;0;96715;34895;0;14.7;5.3;0.0
01;2021-04-13;2887;1548;0;99602;36443;0;15.2;5.5;0.0
01;2021-04-14;3038;1289;0;102640;37732;0;15.6;5.7;0.0
01;2021-04-15;3140;1552;0;105780;39284;0;16.1;6.0;0.0
01;2021-04-16;2982;1605;0;108762;40889;0;16.6;6.2;0.0
01;2021-04-17;1747;726;0;110509;41615;0;16.8;6.3;0.0
01;2021-04-18;166;61;0;110675;41676;0;16.8;6.3;0.0
01;2021-04-19;2240;1665;0;112915;43341;0;17.2;6.6;0.0
01;2021-04-20;2638;1669;0;115553;45010;0;17.6;6.9;0.0
01;2021-04-21;2726;1521;0;118279;46531;0;18.0;7.1;0.0
01;2021-04-22;2930;1768;0;121209;48299;0;18.5;7.4;0.0
01;2021-04-23;2861;1607;0;124070;49906;0;18.9;7.6;0.0
01;2021-04-24;1337;590;0;125407;50496;0;19.1;7.7;0.0
01;2021-04-25;142;31;0;125549;50527;0;19.1;7.7;0.0
01;2021-04-26;2114;1807;0;127663;52334;0;19.4;8.0;0.0
01;2021-04-27;2654;1656;0;130317;53990;0;19.8;8.2;0.0
01;2021-04-28;2644;1595;0;132961;55585;0;20.2;8.5;0.0
01;2021-04-29;2963;1885;0;135924;57470;0;20.7;8.7;0.0
01;2021-04-30;3280;2399;0;139204;59869;0;21.2;9.1;0.0
01;2021-05-01;1372;793;0;140576;60662;0;21.4;9.2;0.0
01;2021-05-02;673;297;0;141249;60959;0;21.5;9.3;0.0
01;2021-05-03;2574;2655;0;143823;63614;0;21.9;9.7;0.0
01;2021-05-04;2716;2815;0;146539;66429;0;22.3;10.1;0.0
01;2021-05-05;3085;2586;0;149624;69015;0;22.8;10.5;0.0
01;2021-05-06;3503;2733;0;153127;71748;0;23.3;10.9;0.0
01;2021-05-07;3634;2892;0;156761;74640;0;23.9;11.4;0.0
01;2021-05-08;1570;940;0;158331;75580;0;24.1;11.5;0.0
01;2021-05-09;1164;253;0;159495;75833;0;24.3;11.5;0.0
01;2021-05-10;2885;3073;0;162380;78906;0;24.7;12.0;0.0
01;2021-05-11;3998;3139;0;166378;82045;0;25.3;12.5;0.0
01;2021-05-12;4071;3116;0;170449;85161;0;25.9;13.0;0.0
01;2021-05-13;3538;1414;0;173987;86575;0;26.5;13.2;0.0
01;2021-05-14;4461;2401;0;178448;88976;0;27.2;13.5;0.0
01;2021-05-15;3043;1446;0;181491;90422;0;27.6;13.8;0.0
01;2021-05-16;1561;223;0;183052;90645;0;27.9;13.8;0.0
01;2021-05-17;3664;2589;0;186716;93234;0;28.4;14.2;0.0
01;2021-05-18;4289;2226;0;191005;95460;0;29.1;14.5;0.0
01;2021-05-19;4449;2068;0;195454;97528;0;29.8;14.8;0.0
01;2021-05-20;4566;2205;0;200020;99733;0;30.4;15.2;0.0
01;2021-05-21;4492;2376;0;204512;102109;0;31.1;15.5;0.0
01;2021-05-22;3200;1028;0;207712;103137;0;31.6;15.7;0.0
01;2021-05-23;1015;136;0;208727;103273;0;31.8;15.7;0.0
01;2021-05-24;2519;472;0;211246;103745;0;32.2;15.8;0.0
01;2021-05-25;3511;2564;0;214757;106309;0;32.7;16.2;0.0
01;2021-05-26;3622;2385;0;218379;108694;0;33.2;16.5;0.0
01;2021-05-27;3956;2332;0;222335;111026;0;33.8;16.9;0.0
01;2021-05-28;3729;2857;0;226064;113883;0;34.4;17.3;0.0
01;2021-05-29;2827;1526;0;228891;115409;0;34.8;17.6;0.0
01;2021-05-30;720;279;0;229611;115688;0;35.0;17.6;0.0
