dep;jour;n_dose1;n_complet;n_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;couv_dose1;couv_complet;couv_rappel
01;2020-12-27;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-28;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-29;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-30;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-31;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-01;4;0;0;4;0;0;0.0;0.0;0.0
01;2021-01-02;0;0;0;4;0;0;0.0;0.0;0.0
01;2021-01-03;0;0;0;4;0;0;0.0;0.0;0.0
01;2021-01-04;0;0;0;4;0;0;0.0;0.0;0.0
01;2021-01-05;11;2;0;15;2;0;0.0;0.0;0.0
01;2021-01-06;22;0;0;37;2;0;0.0;0.0;0.0
01;2021-01-07;114;0;0;151;2;0;0.0;0.0;0.0
01;2021-01-08;233;0;0;384;2;0;0.1;0.0;0.0
01;2021-01-09;30;1;0;414;3;0;0.1;0.0;0.0
01;2021-01-10;0;0;0;414;3;0;0.1;0.0;0.0
01;2021-01-11;224;0;0;638;3;0;0.1;0.0;0.0
01;2021-01-12;409;1;0;1047;4;0;0.2;0.0;0.0
01;2021-01-13;538;1;0;1585;5;0;0.2;0.0;0.0
01;2021-01-14;639;6;0;2224;11;0;0.3;0.0;0.0
01;2021-01-15;537;4;0;2761;15;0;0.4;0.0;0.0
01;2021-01-16;222;0;0;2983;15;0;0.5;0.0;0.0
01;2021-01-17;127;0;0;3110;15;0;0.5;0.0;0.0
01;2021-01-18;530;5;0;3640;20;0;0.6;0.0;0.0
01;2021-01-19;1105;3;0;4745;23;0;0.7;0.0;0.0
01;2021-01-20;1349;4;0;6094;27;0;0.9;0.0;0.0
01;2021-01-21;1227;8;0;7321;35;0;1.1;0.0;0.0
01;2021-01-22;830;3;0;8151;38;0;1.2;0.0;0.0
01;2021-01-23;284;2;0;8435;40;0;1.3;0.0;0.0
01;2021-01-24;74;2;0;8509;42;0;1.3;0.0;0.0
01;2021-01-25;636;2;0;9145;44;0;1.4;0.0;0.0
01;2021-01-26;814;5;0;9959;49;0;1.5;0.0;0.0
01;2021-01-27;666;15;0;10625;64;0;1.6;0.0;0.0
01;2021-01-28;755;81;0;11380;145;0;1.7;0.0;0.0
01;2021-01-29;689;140;0;12069;285;0;1.8;0.0;0.0
01;2021-01-30;229;14;0;12298;299;0;1.9;0.0;0.0
01;2021-01-31;58;0;0;12356;299;0;1.9;0.0;0.0
01;2021-02-01;523;130;0;12879;429;0;2.0;0.1;0.0
01;2021-02-02;529;230;0;13408;659;0;2.0;0.1;0.0
01;2021-02-03;450;326;0;13858;985;0;2.1;0.1;0.0
01;2021-02-04;551;485;0;14409;1470;0;2.2;0.2;0.0
01;2021-02-05;471;336;0;14880;1806;0;2.3;0.3;0.0
01;2021-02-06;267;139;0;15147;1945;0;2.3;0.3;0.0
01;2021-02-07;6;103;0;15153;2048;0;2.3;0.3;0.0
01;2021-02-08;557;470;0;15710;2518;0;2.4;0.4;0.0
01;2021-02-09;810;908;0;16520;3426;0;2.5;0.5;0.0
01;2021-02-10;892;768;0;17412;4194;0;2.7;0.6;0.0
01;2021-02-11;854;886;0;18266;5080;0;2.8;0.8;0.0
01;2021-02-12;702;608;0;18968;5688;0;2.9;0.9;0.0
01;2021-02-13;202;176;0;19170;5864;0;2.9;0.9;0.0
01;2021-02-14;6;12;0;19176;5876;0;2.9;0.9;0.0
01;2021-02-15;449;534;0;19625;6410;0;3.0;1.0;0.0
01;2021-02-16;659;503;0;20284;6913;0;3.1;1.1;0.0
01;2021-02-17;534;390;0;20818;7303;0;3.2;1.1;0.0
01;2021-02-18;611;640;0;21429;7943;0;3.3;1.2;0.0
01;2021-02-19;601;334;0;22030;8277;0;3.4;1.3;0.0
01;2021-02-20;170;137;0;22200;8414;0;3.4;1.3;0.0
01;2021-02-21;3;0;0;22203;8414;0;3.4;1.3;0.0
01;2021-02-22;462;639;0;22665;9053;0;3.5;1.4;0.0
01;2021-02-23;486;673;0;23151;9726;0;3.5;1.5;0.0
01;2021-02-24;449;534;0;23600;10260;0;3.6;1.6;0.0
01;2021-02-25;843;699;0;24443;10959;0;3.7;1.7;0.0
01;2021-02-26;973;594;0;25416;11553;0;3.9;1.8;0.0
01;2021-02-27;448;112;0;25864;11665;0;3.9;1.8;0.0
01;2021-02-28;29;8;0;25893;11673;0;3.9;1.8;0.0
01;2021-03-01;651;505;0;26544;12178;0;4.0;1.9;0.0
01;2021-03-02;1066;591;0;27610;12769;0;4.2;1.9;0.0
01;2021-03-03;1071;675;0;28681;13444;0;4.4;2.0;0.0
01;2021-03-04;1382;665;0;30063;14109;0;4.6;2.1;0.0
01;2021-03-05;1519;548;0;31582;14657;0;4.8;2.2;0.0
01;2021-03-06;874;119;0;32456;14776;0;4.9;2.2;0.0
01;2021-03-07;97;3;0;32553;14779;0;5.0;2.2;0.0
01;2021-03-08;850;732;0;33403;15511;0;5.1;2.4;0.0
01;2021-03-09;1520;655;0;34923;16166;0;5.3;2.5;0.0
01;2021-03-10;1319;636;0;36242;16802;0;5.5;2.6;0.0
01;2021-03-11;1922;721;0;38164;17523;0;5.8;2.7;0.0
01;2021-03-12;2331;751;0;40495;18274;0;6.2;2.8;0.0
01;2021-03-13;1683;97;0;42178;18371;0;6.4;2.8;0.0
01;2021-03-14;281;59;0;42459;18430;0;6.5;2.8;0.0
01;2021-03-15;1281;474;0;43740;18904;0;6.7;2.9;0.0
01;2021-03-16;1222;561;0;44962;19465;0;6.8;3.0;0.0
01;2021-03-17;1112;361;0;46074;19826;0;7.0;3.0;0.0
01;2021-03-18;1493;555;0;47567;20381;0;7.2;3.1;0.0
01;2021-03-19;1893;581;0;49460;20962;0;7.5;3.2;0.0
01;2021-03-20;1451;109;0;50911;21071;0;7.7;3.2;0.0
01;2021-03-21;148;12;0;51059;21083;0;7.8;3.2;0.0
01;2021-03-22;1637;538;0;52696;21621;0;8.0;3.3;0.0
01;2021-03-23;2325;661;0;55021;22282;0;8.4;3.4;0.0
01;2021-03-24;1737;489;0;56758;22771;0;8.6;3.5;0.0
01;2021-03-25;3016;659;0;59774;23430;0;9.1;3.6;0.0
01;2021-03-26;3035;592;0;62809;24022;0;9.6;3.7;0.0
01;2021-03-27;1347;144;0;64156;24166;0;9.8;3.7;0.0
01;2021-03-28;79;9;0;64235;24175;0;9.8;3.7;0.0
01;2021-03-29;1933;650;0;66168;24825;0;10.1;3.8;0.0
01;2021-03-30;2540;832;0;68708;25657;0;10.5;3.9;0.0
01;2021-03-31;1973;812;0;70681;26469;0;10.8;4.0;0.0
01;2021-04-01;2730;948;0;73411;27417;0;11.2;4.2;0.0
01;2021-04-02;2921;835;0;76332;28252;0;11.6;4.3;0.0
01;2021-04-03;1363;214;0;77695;28466;0;11.8;4.3;0.0
01;2021-04-04;252;35;0;77947;28501;0;11.9;4.3;0.0
01;2021-04-05;1322;84;0;79269;28585;0;12.1;4.4;0.0
01;2021-04-06;2787;967;0;82056;29552;0;12.5;4.5;0.0
01;2021-04-07;2743;921;0;84799;30473;0;12.9;4.6;0.0
01;2021-04-08;3383;1209;0;88182;31682;0;13.4;4.8;0.0
01;2021-04-09;4036;1508;0;92218;33190;0;14.0;5.1;0.0
01;2021-04-10;1752;361;0;93970;33551;0;14.3;5.1;0.0
01;2021-04-11;156;109;0;94126;33660;0;14.3;5.1;0.0
01;2021-04-12;2733;1344;0;96859;35004;0;14.7;5.3;0.0
01;2021-04-13;2889;1551;0;99748;36555;0;15.2;5.6;0.0
01;2021-04-14;3043;1288;0;102791;37843;0;15.6;5.8;0.0
01;2021-04-15;3147;1556;0;105938;39399;0;16.1;6.0;0.0
01;2021-04-16;2986;1603;0;108924;41002;0;16.6;6.2;0.0
01;2021-04-17;1752;732;0;110676;41734;0;16.8;6.4;0.0
01;2021-04-18;166;61;0;110842;41795;0;16.9;6.4;0.0
01;2021-04-19;2243;1667;0;113085;43462;0;17.2;6.6;0.0
01;2021-04-20;2643;1667;0;115728;45129;0;17.6;6.9;0.0
01;2021-04-21;2731;1525;0;118459;46654;0;18.0;7.1;0.0
01;2021-04-22;2940;1770;0;121399;48424;0;18.5;7.4;0.0
01;2021-04-23;2865;1608;0;124264;50032;0;18.9;7.6;0.0
01;2021-04-24;1340;593;0;125604;50625;0;19.1;7.7;0.0
01;2021-04-25;142;31;0;125746;50656;0;19.1;7.7;0.0
01;2021-04-26;2120;1808;0;127866;52464;0;19.5;8.0;0.0
01;2021-04-27;2662;1660;0;130528;54124;0;19.9;8.2;0.0
01;2021-04-28;2653;1600;0;133181;55724;0;20.3;8.5;0.0
01;2021-04-29;2972;1889;0;136153;57613;0;20.7;8.8;0.0
01;2021-04-30;3289;2399;0;139442;60012;0;21.2;9.1;0.0
01;2021-05-01;1389;794;0;140831;60806;0;21.4;9.3;0.0
01;2021-05-02;674;297;0;141505;61103;0;21.5;9.3;0.0
01;2021-05-03;2575;2659;0;144080;63762;0;21.9;9.7;0.0
01;2021-05-04;2718;2818;0;146798;66580;0;22.3;10.1;0.0
01;2021-05-05;3098;2586;0;149896;69166;0;22.8;10.5;0.0
01;2021-05-06;3515;2730;0;153411;71896;0;23.4;10.9;0.0
01;2021-05-07;3663;2894;0;157074;74790;0;23.9;11.4;0.0
01;2021-05-08;1578;942;0;158652;75732;0;24.1;11.5;0.0
01;2021-05-09;1164;252;0;159816;75984;0;24.3;11.6;0.0
01;2021-05-10;2927;3079;0;162743;79063;0;24.8;12.0;0.0
01;2021-05-11;4016;3141;0;166759;82204;0;25.4;12.5;0.0
01;2021-05-12;4093;3115;0;170852;85319;0;26.0;13.0;0.0
01;2021-05-13;3545;1416;0;174397;86735;0;26.5;13.2;0.0
01;2021-05-14;4467;2400;0;178864;89135;0;27.2;13.6;0.0
01;2021-05-15;3051;1448;0;181915;90583;0;27.7;13.8;0.0
01;2021-05-16;1566;223;0;183481;90806;0;27.9;13.8;0.0
01;2021-05-17;3676;2589;0;187157;93395;0;28.5;14.2;0.0
01;2021-05-18;4305;2222;0;191462;95617;0;29.1;14.6;0.0
01;2021-05-19;4464;2069;0;195926;97686;0;29.8;14.9;0.0
01;2021-05-20;4590;2206;0;200516;99892;0;30.5;15.2;0.0
01;2021-05-21;4503;2378;0;205019;102270;0;31.2;15.6;0.0
01;2021-05-22;3212;1030;0;208231;103300;0;31.7;15.7;0.0
01;2021-05-23;1018;139;0;209249;103439;0;31.9;15.7;0.0
01;2021-05-24;2527;472;0;211776;103911;0;32.2;15.8;0.0
01;2021-05-25;3520;2562;0;215296;106473;0;32.8;16.2;0.0
01;2021-05-26;3641;2383;0;218937;108856;0;33.3;16.6;0.0
01;2021-05-27;3971;2344;0;222908;111200;0;33.9;16.9;0.0
01;2021-05-28;3736;2849;0;226644;114049;0;34.5;17.4;0.0
01;2021-05-29;2832;1527;0;229476;115576;0;34.9;17.6;0.0
01;2021-05-30;720;279;0;230196;115855;0;35.0;17.6;0.0
