date;vac_statut;nb_PCR;nb_PCR_sympt;nb_PCR+;nb_PCR+_sympt;HC;HC_PCR+;SC;SC_PCR+;DC;DC_PCR+;effectif
2021-05-31;Primo dose efficace;43369.99;2955.06;540.78;170.85;51.68;27.03;6.1;4.0;12.55;8.83;10514823.18
2021-05-31;Complet de moins de 3 mois - sans rappel;42079.74;2019.07;883.64;316.09;52.94;36.19;16.95;9.2;2.0;1.0;8906745.14
2021-05-31;Complet entre 3 mois et 6 mois - sans rappel;7738.11;441.92;114.98;21.05;2.62;2.04;0.88;0.0;0.0;0.0;1521576.02
2021-06-01;Primo dose récente;14663.66;1434.37;509.11;241.27;22.25;14.68;4.62;2.12;0.0;0.0;4931055.14
2021-06-01;Complet de moins de 3 mois - sans rappel;32637.64;1747.73;613.58;197.73;34.43;29.37;13.43;5.93;2.75;0.55;8910495.31
2021-06-01;Complet entre 3 mois et 6 mois - sans rappel;7530.72;332.89;61.92;13.31;2.31;2.02;0.26;0.01;1.21;1.21;1572692.25
2021-06-02;Complet entre 3 mois et 6 mois - sans rappel;7492.0;313.0;59.25;13.41;7.59;5.0;1.57;0.03;2.12;2.12;1637434.32
2021-06-03;Primo dose efficace;39185.22;2370.91;323.83;98.65;20.58;11.43;8.42;7.42;6.54;3.32;11302073.14
2021-06-04;Primo dose efficace;47329.1;2215.03;342.77;85.28;31.6;26.22;3.75;2.71;3.06;1.06;11549369.02
2021-06-05;Non-vaccinés;77087.71;5997.29;2907.19;927.86;176.49;134.85;43.34;31.55;20.88;16.58;39440643.48
2021-06-05;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.36;0.0;0.0;0.0;0.36
2021-06-06;Non-vaccinés;18803.35;1732.7;695.47;239.64;138.3;88.97;48.17;35.8;22.93;17.6;39138758.29
2021-06-06;Complet de moins de 3 mois - sans rappel;6367.73;334.16;78.35;12.7;17.25;8.77;5.86;5.58;2.63;2.3;9789358.33999999
2021-06-08;Non-vaccinés;116364.72;13598.8;4050.91;1397.81;196.1;160.28;54.67;43.67;13.32;8.82;38672133.92
2021-06-08;Primo dose efficace;38154.61;2422.48;233.51;54.62;27.7;21.89;6.58;4.0;3.06;2.68;12065582.07
2021-06-08;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.82
2021-06-09;Primo dose récente;15015.38;850.57;232.45;92.32;14.23;10.2;2.82;2.12;0.0;0.0;4776742.25
2021-06-09;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.81
2021-06-10;Non-vaccinés;114832.97;10495.25;3100.38;1057.23;162.59;122.92;42.11;32.36;22.3;17.31;37901524.18
2021-06-10;Complet de moins de 3 mois - sans rappel;29536.27;1472.69;354.48;87.6;15.86;9.79;3.23;2.23;3.81;2.48;10432419.11
