dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel
01;04;2022-05-16;13;6;1;0;38356.0;0.0;0.0;0.0;0.0
01;11;2022-05-16;1651;1355;42;0;18151.0;9.1;7.5;0.2;0.0
01;17;2022-05-16;43794;42897;8022;24;52102.0;84.1;82.3;15.4;0.0
01;24;2022-05-16;45336;44913;30960;155;45088.0;99.0;99.0;68.7;0.3
01;29;2022-05-16;27372;27086;17913;124;34820.0;78.6;77.8;51.4;0.4
01;39;2022-05-16;68306;67736;46292;245;85588.0;79.8;79.1;54.1;0.3
01;49;2022-05-16;76025;75552;58293;402;89678.0;84.8;84.2;65.0;0.4
01;59;2022-05-16;78922;78532;67099;1154;89791.0;87.9;87.5;74.7;1.3
01;09;2022-05-16;1199;933;7;0;44645.0;2.7;2.1;0.0;0.0
01;64;2022-05-16;34420;34284;30664;913;38384.0;89.7;89.3;79.9;2.4
01;69;2022-05-16;31547;31409;28658;1114;35116.0;89.8;89.4;81.6;3.2
01;74;2022-05-16;29982;29849;27519;1452;30953.0;96.9;96.4;88.9;4.7
01;79;2022-05-16;19589;19462;17890;2324;20058.0;97.7;97.0;89.2;11.6
01;80;2022-05-16;29901;29479;25781;6010;34225.0;87.4;86.1;75.3;17.6
02;04;2022-05-16;7;2;0;0;28189.0;0.0;0.0;0.0;0.0
02;11;2022-05-16;1565;1246;22;0;14179.0;11.0;8.8;0.2;0.0
02;17;2022-05-16;37402;36554;8609;13;41103.0;91.0;88.9;20.9;0.0
02;24;2022-05-16;40707;40168;29638;116;37469.0;99.0;99.0;79.1;0.3
02;29;2022-05-16;23585;23239;16602;91;26232.0;89.9;88.6;63.3;0.3
02;39;2022-05-16;54675;54089;39995;206;62599.0;87.3;86.4;63.9;0.3
02;49;2022-05-16;58932;58551;47875;338;64812.0;90.9;90.3;73.9;0.5
02;59;2022-05-16;65358;65031;57135;1370;70352.0;92.9;92.4;81.2;1.9
02;09;2022-05-16;1211;973;4;0;34123.0;3.5;2.9;0.0;0.0
02;64;2022-05-16;32043;31909;28983;1270;34901.0;91.8;91.4;83.0;3.6
02;69;2022-05-16;31032;30900;28448;1476;34176.0;90.8;90.4;83.2;4.3
02;74;2022-05-16;29261;29118;26840;1694;28969.0;99.0;99.0;92.7;5.8
02;79;2022-05-16;16058;15950;14616;1773;16402.0;97.9;97.2;89.1;10.8
02;80;2022-05-16;27521;27057;23466;5160;32544.0;84.6;83.1;72.1;15.9
03;04;2022-05-16;3;1;0;0;14190.0;0.0;0.0;0.0;0.0
03;11;2022-05-16;902;735;22;0;7080.0;12.7;10.4;0.3;0.0
03;17;2022-05-16;19605;19215;4740;10;22000.0;89.1;87.3;21.5;0.0
03;24;2022-05-16;22115;21867;16279;58;20427.0;99.0;99.0;79.7;0.3
03;29;2022-05-16;12922;12793;9320;25;14422.0;89.6;88.7;64.6;0.2
03;39;2022-05-16;28480;28219;21166;79;33349.0;85.4;84.6;63.5;0.2
03;49;2022-05-16;35210;34998;29008;170;39464.0;89.2;88.7;73.5;0.4
03;59;2022-05-16;42454;42275;37385;665;45840.0;92.6;92.2;81.6;1.5
03;09;2022-05-16;665;523;1;0;16681.0;4.0;3.1;0.0;0.0
03;64;2022-05-16;22276;22193;20238;642;23776.0;93.7;93.3;85.1;2.7
03;69;2022-05-16;22742;22637;20965;788;25182.0;90.3;89.9;83.3;3.1
03;74;2022-05-16;23125;23005;21365;1061;23121.0;99.0;99.0;92.4;4.6
03;79;2022-05-16;14982;14898;13792;1728;15099.0;99.0;98.7;91.3;11.4
03;80;2022-05-16;26933;26555;23308;5139;30684.0;87.8;86.5;76.0;16.7
04;04;2022-05-16;2;0;0;0;7352.0;0.0;0.0;0.0;0.0
04;11;2022-05-16;185;137;9;0;3721.0;5.0;3.7;0.2;0.0
04;17;2022-05-16;7156;6940;1357;5;11153.0;64.2;62.2;12.2;0.0
04;24;2022-05-16;9410;9185;5615;28;9366.0;99.0;98.1;60.0;0.3
04;29;2022-05-16;5485;5387;3227;29;7090.0;77.4;76.0;45.5;0.4
04;39;2022-05-16;12836;12591;7881;54;17545.0;73.2;71.8;44.9;0.3
04;49;2022-05-16;15262;15076;10927;75;19525.0;78.2;77.2;56.0;0.4
04;59;2022-05-16;19865;19667;16043;284;23898.0;83.1;82.3;67.1;1.2
04;09;2022-05-16;125;95;1;0;8868.0;1.4;1.1;0.0;0.0
04;64;2022-05-16;10367;10301;8972;270;12510.0;82.9;82.3;71.7;2.2
04;69;2022-05-16;10171;10115;9094;381;11975.0;84.9;84.5;75.9;3.2
04;74;2022-05-16;10097;10036;9221;534;11196.0;90.2;89.6;82.4;4.8
04;79;2022-05-16;7200;7152;6554;788;7612.0;94.6;94.0;86.1;10.4
04;80;2022-05-16;11091;10920;9416;1797;13386.0;82.9;81.6;70.3;13.4
05;04;2022-05-16;6;3;2;0;6561.0;0.1;0.0;0.0;0.0
05;11;2022-05-16;200;166;7;0;3350.0;6.0;5.0;0.2;0.0
05;17;2022-05-16;7351;7166;1152;2;9735.0;75.5;73.6;11.8;0.0
05;24;2022-05-16;8844;8693;5563;23;8030.0;99.0;99.0;69.3;0.3
05;29;2022-05-16;5411;5299;3212;17;6298.0;85.9;84.1;51.0;0.3
05;39;2022-05-16;12989;12729;7984;41;16000.0;81.2;79.6;49.9;0.3
05;49;2022-05-16;14832;14665;10723;62;17800.0;83.3;82.4;60.2;0.3
