reg;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel
01;04;2022-04-28;17;9;3;0;18024.0;0.1;0.0;0.0;0.0
01;11;2022-04-28;152;115;13;0;9848.0;1.5;1.2;0.1;0.0
01;17;2022-04-28;8264;7827;1146;0;31305.0;26.4;25.0;3.7;0.0
01;24;2022-04-28;13045;12202;5424;0;27093.0;48.1;45.0;20.0;0.0
01;29;2022-04-28;6691;6272;2920;0;16795.0;39.8;37.3;17.4;0.0
01;39;2022-04-28;16584;15832;8268;0;37149.0;44.6;42.6;22.3;0.0
01;49;2022-04-28;21872;21064;12254;0;48928.0;44.7;43.1;25.0;0.0
01;59;2022-04-28;28655;27676;17472;0;60524.0;47.3;45.7;28.9;0.0
01;09;2022-04-28;102;70;1;0;22110.0;0.5;0.3;0.0;0.0
01;64;2022-04-28;13494;13071;8754;81;27495.0;49.1;47.5;31.8;0.3
01;69;2022-04-28;12539;12221;8753;110;23618.0;53.1;51.7;37.1;0.5
01;74;2022-04-28;10791;10520;7464;114;19823.0;54.4;53.1;37.7;0.6
01;79;2022-04-28;7590;7370;5154;111;13239.0;57.3;55.7;38.9;0.8
01;80;2022-04-28;8414;8030;4926;173;20928.0;40.2;38.4;23.5;0.8
02;04;2022-04-28;18;8;8;0;15550.0;0.1;0.1;0.1;0.0
02;11;2022-04-28;176;149;4;0;8430.0;2.1;1.8;0.0;0.0
02;17;2022-04-28;7858;7477;1102;0;26182.0;30.0;28.6;4.2;0.0
02;24;2022-04-28;11906;11119;5001;0;24337.0;48.9;45.7;20.5;0.0
02;29;2022-04-28;6460;6110;2907;0;15561.0;41.5;39.3;18.7;0.0
02;39;2022-04-28;16858;16144;8733;0;34280.0;49.2;47.1;25.5;0.0
02;49;2022-04-28;20185;19491;12010;0;42967.0;47.0;45.4;28.0;0.0
02;59;2022-04-28;28868;27986;18388;0;62671.0;46.1;44.7;29.3;0.0
02;09;2022-04-28;123;100;2;0;18441.0;0.7;0.5;0.0;0.0
02;64;2022-04-28;14477;14114;9878;125;28516.0;50.8;49.5;34.6;0.4
02;69;2022-04-28;13045;12744;9557;155;24040.0;54.3;53.0;39.8;0.6
02;74;2022-04-28;11022;10804;8180;163;19607.0;56.2;55.1;41.7;0.8
02;79;2022-04-28;7623;7469;5572;144;13902.0;54.8;53.7;40.1;1.0
02;80;2022-04-28;9708;9389;6395;223;24265.0;40.0;38.7;26.4;0.9
03;04;2022-04-28;44;21;0;0;32085.0;0.1;0.1;0.0;0.0
03;11;2022-04-28;319;247;5;0;12235.0;2.6;2.0;0.0;0.0
03;17;2022-04-28;9006;7866;1117;0;35925.0;25.1;21.9;3.1;0.0
03;24;2022-04-28;12825;11231;4384;0;30954.0;41.4;36.3;14.2;0.0
