fra;semaine;nb_pos;nb_crib;tx_crib;nb_A0;nb_A1;tx_A1;nb_C0;nb_C1;tx_C1;nb_D0;nb_D1;tx_D1;nb_A0C0;nb_A01C01;tx_A0C0
FR;2021-11-01-2021-11-07;63145.00;245.00;0.39;223.00;0.00;0.00;6.00;217.00;97.31;11.00;1.00;8.33;6.00;223.00;2.69
FR;2021-11-02-2021-11-08;78386.00;363.00;0.46;337.00;0.00;0.00;8.00;330.00;97.63;13.00;2.00;13.33;8.00;337.00;2.37
FR;2021-11-03-2021-11-09;77667.00;436.00;0.56;407.00;0.00;0.00;9.00;400.00;97.80;11.00;1.00;8.33;8.00;407.00;1.97
FR;2021-11-04-2021-11-10;81461.00;544.00;0.67;508.00;0.00;0.00;16.00;494.00;96.86;9.00;3.00;25.00;15.00;508.00;2.95
FR;2021-11-05-2021-11-11;73903.00;520.00;0.70;488.00;0.00;0.00;16.00;474.00;96.73;15.00;3.00;16.67;15.00;488.00;3.07
FR;2021-11-06-2021-11-12;82836.00;580.00;0.70;550.00;0.00;0.00;20.00;532.00;96.38;29.00;4.00;12.12;19.00;550.00;3.45
FR;2021-11-07-2021-11-13;86488.00;627.00;0.72;593.00;0.00;0.00;21.00;574.00;96.47;33.00;4.00;10.81;20.00;593.00;3.37
FR;2021-11-08-2021-11-14;87569.00;647.00;0.74;613.00;0.00;0.00;21.00;594.00;96.59;34.00;4.00;10.53;20.00;613.00;3.26
FR;2021-11-09-2021-11-15;98354.00;906.00;0.92;856.00;0.00;0.00;26.00;835.00;96.98;40.00;3.00;6.98;25.00;855.00;2.92
FR;2021-11-10-2021-11-16;108218.00;1252.00;1.16;1187.00;0.00;0.00;27.00;1166.00;97.74;45.00;3.00;6.25;27.00;1186.00;2.28
FR;2021-11-11-2021-11-17;117929.00;1576.00;1.34;1502.00;0.00;0.00;21.00;1491.00;98.61;51.00;1.00;1.92;21.00;1501.00;1.40
FR;2021-11-12-2021-11-18;140647.00;1653.00;1.18;1568.00;0.00;0.00;25.00;1554.00;98.42;49.00;2.00;3.92;25.00;1567.00;1.60
FR;2021-11-13-2021-11-19;148291.00;1690.00;1.14;1599.00;0.00;0.00;27.00;1584.00;98.32;39.00;3.00;7.14;27.00;1597.00;1.69
FR;2021-11-14-2021-11-20;156541.00;1688.00;1.08;1599.00;0.00;0.00;27.00;1583.00;98.32;41.00;3.00;6.82;27.00;1596.00;1.69
FR;2021-11-15-2021-11-21;158190.00;1718.00;1.09;1615.00;0.00;0.00;28.00;1600.00;98.28;47.00;3.00;6.00;28.00;1612.00;1.74
FR;2021-11-16-2021-11-22;174390.00;2714.00;1.56;2424.00;10.00;0.41;66.00;2408.00;97.33;58.00;3.00;4.92;64.00;2430.00;2.63
FR;2021-11-17-2021-11-23;189077.00;2657.00;1.41;2319.00;11.00;0.47;75.00;2305.00;96.85;67.00;3.00;4.29;73.00;2326.00;3.14
FR;2021-11-18-2021-11-24;204919.00;2911.00;1.42;2490.00;12.00;0.48;98.00;2458.00;96.17;80.00;4.00;4.76;95.00;2494.00;3.81
FR;2021-11-19-2021-11-25;221583.00;4192.00;1.89;3583.00;12.00;0.33;149.00;3513.00;95.93;125.00;9.00;6.72;146.00;3582.00;4.08
FR;2021-11-20-2021-11-26;239061.00;6260.00;2.62;5347.00;14.00;0.26;199.00;5237.00;96.34;187.00;11.00;5.56;193.00;5344.00;3.61
FR;2021-11-21-2021-11-27;250576.00;7780.00;3.10;6667.00;19.00;0.28;269.00;6492.00;96.02;236.00;16.00;6.35;262.00;6661.00;3.93
FR;2021-11-22-2021-11-28;253468.00;8236.00;3.25;7038.00;19.00;0.27;292.00;6841.00;95.91;285.00;21.00;6.86;284.00;7032.00;4.04
FR;2021-11-23-2021-11-29;280088.00;15777.00;5.63;13764.00;61.00;0.44;489.00;13412.00;96.48;489.00;33.00;6.32;478.00;13798.00;3.46
FR;2021-11-24-2021-11-30;301288.00;26406.00;8.76;23211.00;69.00;0.30;777.00;22603.00;96.68;854.00;45.00;5.01;765.00;23248.00;3.29
