date,tx_pos,tx_incid,TO,R,rea,hosp,rad,dchosp,incid_rea,incid_hosp,incid_rad,incid_dchosp,conf,conf_j1,pos,esms_dc,dc_tot,pos_7j,cv_dose1,esms_cas
2020-01-23,,,,,,,,,,,,,1,,,,,,,
2020-01-24,,,,,,,,,,,,,3,,,,,,,
2020-01-25,,,,,,,,,,,,,3,,,,,,,
2020-01-26,,,,,,,,,,,,,3,,,,,,,
2020-01-27,,,,,,,,,,,,,0,,,,,,,
2020-01-28,,,,,,,,,,,,,4,,,,,,,
2020-01-29,,,,,,,,,,,,,5,,,,,,,
2020-01-30,,,,,,,,,,,,,6,,,,,,,
2020-01-31,,,,,,,,,,,,,6,,,,,,,
2020-02-01,,,,,,,,,,,,,6,,,,,,,
2020-02-02,,,,,,,,,,,,,6,,,,,,,
2020-02-03,,,,,,,,,,,,,6,,,,,,,
2020-02-04,,,,,,,,,,,,,6,,,,,,,
2020-02-05,,,,,,,,,,,,,6,,,,,,,
2020-02-06,,,,,,,,,,,,,6,,,,,,,
2020-02-07,,,,,,,,,,,,,6,,,,,,,
2020-02-08,,,,,,,,,,,,,11,,,,,,,
2020-02-09,,,,,,,,,,,,,11,,,,,,,
2020-02-10,,,,,,,,,,,,,11,,,,,,,
2020-02-11,,,,,,,,,,,,,11,,,,,,,
2020-02-12,,,,,,,,,,,,,11,,,,,,,
2020-02-13,,,,,,,,,,,,,11,,,,,,,
2020-02-14,,,,,,,,,,,,,11,,,,,,,
2020-02-15,,,,,,,,,,,,,12,,,,,,,
2020-02-16,,,,,,,,,,,,,12,,,,,,,
2020-02-17,,,,,,,,,,,,,12,,,,,,,
2020-02-18,,,,,,,,,,,,,12,,,,,,,
2020-02-19,,,,,,,,,,,,,12,,,,,,,
2020-02-20,,,,,,,,,,,,,12,,,,,,,
2020-02-21,,,,,,,,,,,,,12,,,,,,,
2020-02-22,,,,,,,,,,,,,12,,,,,,,
2020-02-23,,,,,,,,,,,,,12,,,,,,,
2020-02-24,,,,,,,,,,,,,12,,,,,,,
2020-02-25,,,,,,,,,,,,,14,,,,,,,
2020-02-26,,,,,,,,,,,,,17,,,,,,,
2020-02-27,,,,,,,,,,,,,35,,,,,,,
2020-02-28,,,,,,,,,,,,,50,,,,,,,
2020-02-29,,,,,,,,,,,,,100,,,,,,,
2020-03-01,,,,,,,,,,,,,145,,,,,,,
2020-03-02,,,,,,,,,,,,,191,,,,,,,
2020-03-03,,,,,,,,,,,,,212,,,,,,,
2020-03-04,,,,,,,,,,,,,285,,,,,,,
2020-03-05,,,,,,,,,,,,,423,,,,,,,
2020-03-06,,,,,,,,,,,,,613,,,,,,,
2020-03-07,,,,,,,,,,,,,949,,,,,,,
2020-03-08,,,,,,,,,,,,,1126,,,,,,,
2020-03-09,,,,,,,,,,,,,1412,,,,,,,
2020-03-10,,,,,,,,,,,,,1784,,,,,,,
2020-03-11,,,,,,,,,,,,,2281,,,,,,,
2020-03-12,,,,,,,,,,,,,2876,,,,,,,
2020-03-13,,,,,,,,,,,,,3661,,,,,,,
2020-03-14,,,,,,,,,,,,,4499,,,,,,,
2020-03-15,,,,,,,,,,,,,5423,,,,,,,
2020-03-16,,,,,,,,,,,,,6633,,,,,,,
2020-03-17,,,,,,,,,,,,,7730,,,,,,,
2020-03-18,,,0.152431791221827,,771,2972,816,218,,,,,9134,,,,,,,
2020-03-19,,,0.221826809015421,,1002,4073,1180,327,438,2229,519,155,10995,,,,,,,
2020-03-20,,,0.256425464610518,,1297,5226,1587,450,242,1256,317,83,12612,,,,,,,
2020-03-21,,,0.301502570185844,,1453,5900,1811,525,298,1540,368,115,14459,,,,,,,
2020-03-22,,,0.345195729537367,,1674,6954,2117,632,309,1534,315,124,16686,,,,,,,
2020-03-23,,,0.411229735073151,,2080,8673,2567,860,448,2053,377,189,19856,,,,,,,
2020-03-24,,,0.494859628311586,,2503,10163,3281,1100,571,2618,743,244,22302,,,,,,,
2020-03-25,,,0.580268880980625,,2935,12072,4085,1388,607,3166,834,293,25233,,,,,,,
2020-03-26,,,0.662514827995255,,3351,13879,4947,1696,612,3097,888,318,29155,,,,,,,
2020-03-27,,,0.74298141557928,,3758,15701,5698,1995,608,3059,814,307,32964,,,,,,,
2020-03-28,,,0.837485172004745,,4236,17580,6624,2314,695,3353,969,326,37575,,,,,,,
2020-03-29,,,0.907868722815342,,4592,19311,7131,2606,543,2685,543,295,40174,,,,,,,
2020-03-30,,,0.999604586793199,,5056,20946,7923,3024,694,3108,861,423,44550,,,,,,,
2020-03-31,,,1.08659549228944,,5496,22672,9443,3523,767,4146,1589,526,52128,,,,,,,
2020-04-01,,,1.17437722419929,,5940,24543,10934,4032,771,4281,1647,516,56989,,,,,,,
2020-04-02,,,1.24654013444049,,6305,26131,12427,4503,728,3845,1577,524,59105,,,,,,,
2020-04-03,,,1.29616449189403,,6556,27302,14007,5091,640,3627,1655,606,64338,,,,,,,
2020-04-04,,,1.32918149466192,,6723,28003,15437,5532,502,2822,1495,448,68605,,,,,,,
2020-04-05,,,1.3560695927244,,6859,28747,16182,5889,390,1931,773,361,70478,,,,,,,
2020-04-06,,,1.37366548042705,,6948,29569,17249,6494,478,2754,1133,613,74390,,,,,,,
2020-04-07,,,1.38473705021748,,7004,29871,19336,7091,518,3277,2161,607,78167,,,,,,,
2020-04-08,,,1.38770264926849,,7019,30217,21253,7632,482,3139,2022,562,82048,,,,,,,
2020-04-09,,,1.37149070778964,,6937,30608,23205,8044,369,2990,2032,424,86334,,,,,,,
2020-04-10,,,1.35923289837881,,6875,31108,24931,8598,431,3161,1967,578,90676,,,,,,,
2020-04-11,,,1.33491498616054,,6752,31159,26390,8943,255,2044,1527,353,93790,,,,,,,
2020-04-12,,,1.32740213523132,,6714,31665,27185,9253,220,1688,825,315,95403,,,,,,,
2020-04-13,,,1.3226571767497,,6690,31952,27717,9588,227,1257,551,343,98076,,,,,,,
2020-04-14,,,1.30466587584025,,6599,32131,28804,10129,275,1965,1125,559,103573,,,,,,,
2020-04-15,,,1.2516805061289,,6331,31623,30952,10643,284,2415,2224,524,106206,,,,,,,
2020-04-16,,,1.213720838276,,6139,31172,32806,11053,270,2084,1925,435,108847,,,,,,,
2020-04-17,,,1.17081850533808,,5922,31061,34414,11470,242,2166,1720,428,109252,,,,,,,
2020-04-18,,,1.13345195729537,,5733,30515,35977,11834,206,1565,1605,368,111821,,,,,,,
2020-04-19,,,1.11585606959272,,5644,30486,36572,12061,137,890,622,231,112606,,,,,,,
2020-04-20,,,1.10399367338869,,5584,30462,37403,12505,208,1464,933,450,114657,,,,,,,
2020-04-21,,,1.05456702253855,,5334,29984,39175,12892,190,1885,1875,404,117324,,,,,,,
