dep;jour;n_dose1;n_complet;n_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;couv_dose1;couv_complet;couv_rappel
01;2020-12-27;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-28;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-29;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-30;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-31;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-01;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-02;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-03;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-04;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-05;10;2;0;10;2;0;0.0;0.0;0.0
01;2021-01-06;21;0;0;31;2;0;0.0;0.0;0.0
01;2021-01-07;112;0;0;143;2;0;0.0;0.0;0.0
01;2021-01-08;234;1;0;377;3;0;0.1;0.0;0.0
01;2021-01-09;30;1;0;407;4;0;0.1;0.0;0.0
01;2021-01-10;0;0;0;407;4;0;0.1;0.0;0.0
01;2021-01-11;224;0;0;631;4;0;0.1;0.0;0.0
01;2021-01-12;408;1;0;1039;5;0;0.2;0.0;0.0
01;2021-01-13;534;1;0;1573;6;0;0.2;0.0;0.0
01;2021-01-14;637;6;0;2210;12;0;0.3;0.0;0.0
01;2021-01-15;536;5;0;2746;17;0;0.4;0.0;0.0
01;2021-01-16;222;0;0;2968;17;0;0.5;0.0;0.0
01;2021-01-17;127;0;0;3095;17;0;0.5;0.0;0.0
01;2021-01-18;529;5;0;3624;22;0;0.6;0.0;0.0
01;2021-01-19;1103;3;0;4727;25;0;0.7;0.0;0.0
01;2021-01-20;1348;5;0;6075;30;0;0.9;0.0;0.0
01;2021-01-21;1224;9;0;7299;39;0;1.1;0.0;0.0
01;2021-01-22;827;3;0;8126;42;0;1.2;0.0;0.0
01;2021-01-23;283;2;0;8409;44;0;1.3;0.0;0.0
01;2021-01-24;72;1;0;8481;45;0;1.3;0.0;0.0
01;2021-01-25;634;2;0;9115;47;0;1.4;0.0;0.0
01;2021-01-26;813;5;0;9928;52;0;1.5;0.0;0.0
01;2021-01-27;663;15;0;10591;67;0;1.6;0.0;0.0
01;2021-01-28;753;81;0;11344;148;0;1.7;0.0;0.0
01;2021-01-29;689;141;0;12033;289;0;1.8;0.0;0.0
01;2021-01-30;229;14;0;12262;303;0;1.9;0.0;0.0
01;2021-01-31;57;0;0;12319;303;0;1.9;0.0;0.0
01;2021-02-01;522;130;0;12841;433;0;2.0;0.1;0.0
01;2021-02-02;528;230;0;13369;663;0;2.0;0.1;0.0
01;2021-02-03;450;325;0;13819;988;0;2.1;0.2;0.0
01;2021-02-04;547;484;0;14366;1472;0;2.2;0.2;0.0
01;2021-02-05;472;337;0;14838;1809;0;2.3;0.3;0.0
01;2021-02-06;263;139;0;15101;1948;0;2.3;0.3;0.0
01;2021-02-07;6;103;0;15107;2051;0;2.3;0.3;0.0
01;2021-02-08;553;468;0;15660;2519;0;2.4;0.4;0.0
01;2021-02-09;810;907;0;16470;3426;0;2.5;0.5;0.0
01;2021-02-10;889;756;0;17359;4182;0;2.6;0.6;0.0
01;2021-02-11;852;877;0;18211;5059;0;2.8;0.8;0.0
01;2021-02-12;700;608;0;18911;5667;0;2.9;0.9;0.0
01;2021-02-13;201;175;0;19112;5842;0;2.9;0.9;0.0
01;2021-02-14;6;12;0;19118;5854;0;2.9;0.9;0.0
01;2021-02-15;447;534;0;19565;6388;0;3.0;1.0;0.0
01;2021-02-16;656;498;0;20221;6886;0;3.1;1.0;0.0
01;2021-02-17;534;388;0;20755;7274;0;3.2;1.1;0.0
01;2021-02-18;610;636;0;21365;7910;0;3.3;1.2;0.0
01;2021-02-19;601;330;0;21966;8240;0;3.3;1.3;0.0
01;2021-02-20;170;137;0;22136;8377;0;3.4;1.3;0.0
01;2021-02-21;2;0;0;22138;8377;0;3.4;1.3;0.0
01;2021-02-22;461;638;0;22599;9015;0;3.4;1.4;0.0
01;2021-02-23;484;667;0;23083;9682;0;3.5;1.5;0.0
01;2021-02-24;447;534;0;23530;10216;0;3.6;1.6;0.0
01;2021-02-25;839;687;0;24369;10903;0;3.7;1.7;0.0
01;2021-02-26;968;581;0;25337;11484;0;3.9;1.7;0.0
01;2021-02-27;449;111;0;25786;11595;0;3.9;1.8;0.0
01;2021-02-28;29;8;0;25815;11603;0;3.9;1.8;0.0
01;2021-03-01;651;503;0;26466;12106;0;4.0;1.8;0.0
01;2021-03-02;1065;589;0;27531;12695;0;4.2;1.9;0.0
01;2021-03-03;1072;669;0;28603;13364;0;4.4;2.0;0.0
01;2021-03-04;1380;662;0;29983;14026;0;4.6;2.1;0.0
01;2021-03-05;1519;548;0;31502;14574;0;4.8;2.2;0.0
01;2021-03-06;873;117;0;32375;14691;0;4.9;2.2;0.0
01;2021-03-07;97;3;0;32472;14694;0;4.9;2.2;0.0
01;2021-03-08;846;729;0;33318;15423;0;5.1;2.3;0.0
01;2021-03-09;1518;654;0;34836;16077;0;5.3;2.4;0.0
01;2021-03-10;1316;632;0;36152;16709;0;5.5;2.5;0.0
01;2021-03-11;1915;717;0;38067;17426;0;5.8;2.7;0.0
01;2021-03-12;2332;748;0;40399;18174;0;6.1;2.8;0.0
01;2021-03-13;1682;97;0;42081;18271;0;6.4;2.8;0.0
01;2021-03-14;280;59;0;42361;18330;0;6.4;2.8;0.0
01;2021-03-15;1277;473;0;43638;18803;0;6.6;2.9;0.0
01;2021-03-16;1224;557;0;44862;19360;0;6.8;2.9;0.0
01;2021-03-17;1111;361;0;45973;19721;0;7.0;3.0;0.0
01;2021-03-18;1492;549;0;47465;20270;0;7.2;3.1;0.0
01;2021-03-19;1891;582;0;49356;20852;0;7.5;3.2;0.0
01;2021-03-20;1448;108;0;50804;20960;0;7.7;3.2;0.0
01;2021-03-21;148;12;0;50952;20972;0;7.8;3.2;0.0
01;2021-03-22;1640;533;0;52592;21505;0;8.0;3.3;0.0
01;2021-03-23;2325;656;0;54917;22161;0;8.4;3.4;0.0
01;2021-03-24;1732;485;0;56649;22646;0;8.6;3.4;0.0
01;2021-03-25;3017;661;0;59666;23307;0;9.1;3.5;0.0
01;2021-03-26;3034;590;0;62700;23897;0;9.5;3.6;0.0
01;2021-03-27;1346;144;0;64046;24041;0;9.7;3.7;0.0
01;2021-03-28;79;9;0;64125;24050;0;9.8;3.7;0.0
01;2021-03-29;1931;647;0;66056;24697;0;10.1;3.8;0.0
01;2021-03-30;2538;828;0;68594;25525;0;10.4;3.9;0.0
01;2021-03-31;1970;806;0;70564;26331;0;10.7;4.0;0.0
01;2021-04-01;2717;944;0;73281;27275;0;11.2;4.2;0.0
01;2021-04-02;2920;833;0;76201;28108;0;11.6;4.3;0.0
01;2021-04-03;1356;215;0;77557;28323;0;11.8;4.3;0.0
01;2021-04-04;247;34;0;77804;28357;0;11.8;4.3;0.0
01;2021-04-05;1315;85;0;79119;28442;0;12.0;4.3;0.0
01;2021-04-06;2781;961;0;81900;29403;0;12.5;4.5;0.0
01;2021-04-07;2736;909;0;84636;30312;0;12.9;4.6;0.0
01;2021-04-08;3374;1200;0;88010;31512;0;13.4;4.8;0.0
01;2021-04-09;4032;1503;0;92042;33015;0;14.0;5.0;0.0
01;2021-04-10;1749;359;0;93791;33374;0;14.3;5.1;0.0
01;2021-04-11;156;109;0;93947;33483;0;14.3;5.1;0.0
01;2021-04-12;2728;1340;0;96675;34823;0;14.7;5.3;0.0
01;2021-04-13;2883;1547;0;99558;36370;0;15.2;5.5;0.0
01;2021-04-14;3033;1290;0;102591;37660;0;15.6;5.7;0.0
01;2021-04-15;3139;1551;0;105730;39211;0;16.1;6.0;0.0
01;2021-04-16;2977;1604;0;108707;40815;0;16.5;6.2;0.0
01;2021-04-17;1747;721;0;110454;41536;0;16.8;6.3;0.0
01;2021-04-18;166;61;0;110620;41597;0;16.8;6.3;0.0
01;2021-04-19;2234;1664;0;112854;43261;0;17.2;6.6;0.0
01;2021-04-20;2630;1666;0;115484;44927;0;17.6;6.8;0.0
01;2021-04-21;2721;1517;0;118205;46444;0;18.0;7.1;0.0
01;2021-04-22;2924;1770;0;121129;48214;0;18.4;7.3;0.0
01;2021-04-23;2853;1603;0;123982;49817;0;18.9;7.6;0.0
01;2021-04-24;1335;591;0;125317;50408;0;19.1;7.7;0.0
01;2021-04-25;142;30;0;125459;50438;0;19.1;7.7;0.0
01;2021-04-26;2111;1808;0;127570;52246;0;19.4;8.0;0.0
01;2021-04-27;2651;1656;0;130221;53902;0;19.8;8.2;0.0
01;2021-04-28;2642;1597;0;132863;55499;0;20.2;8.4;0.0
01;2021-04-29;2955;1882;0;135818;57381;0;20.7;8.7;0.0
01;2021-04-30;3276;2397;0;139094;59778;0;21.2;9.1;0.0
01;2021-05-01;1368;793;0;140462;60571;0;21.4;9.2;0.0
01;2021-05-02;673;298;0;141135;60869;0;21.5;9.3;0.0
01;2021-05-03;2567;2654;0;143702;63523;0;21.9;9.7;0.0
01;2021-05-04;2705;2814;0;146407;66337;0;22.3;10.1;0.0
01;2021-05-05;3071;2593;0;149478;68930;0;22.8;10.5;0.0
01;2021-05-06;3485;2735;0;152963;71665;0;23.3;10.9;0.0
01;2021-05-07;3623;2891;0;156586;74556;0;23.8;11.3;0.0
01;2021-05-08;1564;940;0;158150;75496;0;24.1;11.5;0.0
01;2021-05-09;1164;253;0;159314;75749;0;24.3;11.5;0.0
01;2021-05-10;2859;3076;0;162173;78825;0;24.7;12.0;0.0
01;2021-05-11;3979;3135;0;166152;81960;0;25.3;12.5;0.0
01;2021-05-12;4060;3124;0;170212;85084;0;25.9;13.0;0.0
01;2021-05-13;3535;1411;0;173747;86495;0;26.4;13.2;0.0
01;2021-05-14;4448;2405;0;178195;88900;0;27.1;13.5;0.0
01;2021-05-15;3038;1444;0;181233;90344;0;27.6;13.8;0.0
01;2021-05-16;1561;223;0;182794;90567;0;27.8;13.8;0.0
01;2021-05-17;3657;2591;0;186451;93158;0;28.4;14.2;0.0
01;2021-05-18;4285;2230;0;190736;95388;0;29.0;14.5;0.0
01;2021-05-19;4434;2069;0;195170;97457;0;29.7;14.8;0.0
01;2021-05-20;4558;2209;0;199728;99666;0;30.4;15.2;0.0
01;2021-05-21;4487;2383;0;204215;102049;0;31.1;15.5;0.0
01;2021-05-22;3197;1027;0;207412;103076;0;31.6;15.7;0.0
01;2021-05-23;1012;136;0;208424;103212;0;31.7;15.7;0.0
01;2021-05-24;2519;469;0;210943;103681;0;32.1;15.8;0.0
01;2021-05-25;3508;2565;0;214451;106246;0;32.6;16.2;0.0
01;2021-05-26;3617;2386;0;218068;108632;0;33.2;16.5;0.0
01;2021-05-27;3952;2335;0;222020;110967;0;33.8;16.9;0.0
01;2021-05-28;3726;2856;0;225746;113823;0;34.4;17.3;0.0
01;2021-05-29;2823;1522;0;228569;115345;0;34.8;17.6;0.0
01;2021-05-30;720;278;0;229289;115623;0;34.9;17.6;0.0
