date;vac_statut;age;nb_PCR;nb_PCR_sympt;nb_PCR+_sympt;nb_PCR+;HC;HC_PCR+;SC;SC_PCR+;DC;DC_PCR+;effectif;PCR+_pourcent_omicron;PCR+_sympt_pourcent_omicron;HC_pourcent_omicron;SC_pourcent_omicron;DC_pourcent_omicron;HC_PCR+_pour_covid;SC_PCR+_pour_covid;DC_PCR+_pour_covid
2021-05-31;Complet entre 3 mois et 6 mois - sans rappel;[0,19];4.82;1.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;834.93;NA;NA;NA;NA;NA;0.0;0.0;0.0
2021-05-31;Complet entre 3 mois et 6 mois - sans rappel;[20,39];556.77;59.3;4.42;17.41;0.0;0.0;0.0;0.0;0.0;0.0;83648.37;20.93;50;NA;NA;NA;0.0;0.0;0.0
2021-05-31;Primo dose efficace;[40,59];14680.5;1070.08;79.11;203.43;8.49;6.68;1.87;1.0;1.0;0.0;3645570.86;25.41;23.59;100;NA;NA;6.51;1.0;0.0
2021-05-31;Complet entre 3 mois et 6 mois - sans rappel;[40,59];1663.53;100.76;6.16;17.63;0.05;0.0;0.07;0.0;0.0;0.0;354050.95;21.29;34.65;NA;NA;NA;0.0;0.0;0.0
2021-05-31;Primo dose récente;[60,79];2218.28;118.52;9.65;47.36;6.72;4.38;3.26;1.7;0.16;0.0;694105.23;32.49;34.49;NA;NA;NA;4.37;1.7;0.0
2021-05-31;Primo dose efficace;[60,79];18491.1;1048.7;47.05;175.68;20.99;13.37;3.65;2.9;2.72;2.0;4850010.69;29.94;44.76;0;NA;NA;8.34;1.65;2.0
2021-05-31;Complet entre 3 mois et 6 mois - sans rappel;[60,79];2921.35;114.51;6.88;24.49;0.3;0.04;0.08;0.0;0.0;0.0;519439.73;29.37;37.5;NA;NA;NA;0.04;0.0;0.0
2021-05-31;Complet entre 3 mois et 6 mois - sans rappel;"[80;+]";2887.42;164.45;4.19;55.69;3.63;2.59;0.18;0.0;0.0;0.0;568893.4;0.38;0;8.26;NA;NA;2.59;0.0;0.0
2021-05-31;Complet - avec rappel de moins de 3 mois;[60,79];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.84;NA;NA;NA;NA;NA;0.0;0.0;0.0
2021-06-01;Non-vaccinés;[0,19];49567.87;7915.36;610.62;1933.3;21.83;13.0;1.0;1.0;0.0;0.0;15767928.57;25.45;25.41;0;NA;NA;10.0;1.0;0.0
2021-06-01;Complet de moins de 3 mois - sans rappel;[0,19];153.54;10.76;2.12;7.15;0.1;0.0;0.0;0.0;0.0;0.0;28365.78;25.73;0;NA;NA;NA;0.0;0.0;0.0
2021-06-01;Non-vaccinés;[20,39];44780.37;6183.59;983.41;2217.99;45.13;32.93;4.75;4.75;0.0;0.0;11849670.32;25.33;25.45;0;100;NA;22.57;4.75;0.0
2021-06-01;Non-vaccinés;[40,59];27477.65;3092.23;617.06;1511.71;101.82;69.06;29.56;23.8;1.0;1.0;9160917.47;22.62;20.63;28.57;0;NA;64.39;23.8;1.0
2021-06-01;Complet entre 3 mois et 6 mois - sans rappel;[40,59];1590.94;83.08;4.56;13.81;0.04;0.0;0.04;0.0;0.0;0.0;358973.94;1.52;28.57;NA;NA;NA;0.0;0.0;0.0
2021-06-01;Non-vaccinés;"[80;+]";4186.95;277.72;29.48;134.42;37.14;31.74;7.53;6.53;18.73;16.2;887747.93;13.55;0;26.32;0;NA;27.24;6.53;14.2
2021-06-01;Primo dose efficace;"[80;+]";2789.24;154.94;10.75;49.48;7.48;5.45;1.14;1.14;2.92;0.17;665053.16;36.56;27.17;0;NA;NA;3.45;1.14;0.17
2021-06-02;Complet entre 3 mois et 6 mois - sans rappel;[0,19];2.8;0.04;0.0;0.02;0.0;0.0;0.0;0.0;0.08;0.0;918.94;NA;NA;NA;NA;NA;0.0;0.0;0.0
2021-06-02;Complet entre 3 mois et 6 mois - sans rappel;[20,39];561.47;46.17;3.24;6.21;0.0;0.0;0.0;0.0;0.0;0.0;87992.13;29.85;49.02;NA;NA;NA;0.0;0.0;0.0
2021-06-02;Primo dose efficace;[40,59];13095.3;838.46;34.59;124.35;2.93;2.54;2.3;1.25;0.0;0.0;3966536.1;17.56;22.71;NA;NA;NA;1.38;1.25;0.0
2021-06-02;Complet de moins de 3 mois - sans rappel;[60,79];13866.99;634.53;53.07;206.31;25.04;20.42;4.99;3.62;0.14;0.06;4536152.31;14.82;8.28;33.33;0;NA;17.17;3.62;0.06
2021-06-02;Complet entre 3 mois et 6 mois - sans rappel;[60,79];2243.48;80.98;5.68;22.34;1.76;1.32;1.22;0.21;1.04;1.0;567256.8;1.5;0;NA;NA;NA;0.32;0.21;1.0
2021-06-02;Complet entre 3 mois et 6 mois - sans rappel;"[80;+]";2907.4;118.94;2.41;24.04;6.19;3.88;0.17;0.17;2.28;1.42;620539.01;20.77;64.52;0;NA;NA;3.48;0.17;1.24
2021-06-02;Complet de 6 mois ou plus - sans rappel;"[80;+]";0.01;0.01;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0;0;NA;NA;NA;0.0;0.0;0.0
2021-06-02;Complet de 6 mois ou plus - sans rappel;[20,39];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;NA;NA;NA;NA;NA;0.0;0.0;0.0
2021-06-03;Non-vaccinés;[0,19];48359.34;6370.98;441.17;1629.38;8.79;7.0;1.0;1.0;0.0;0.0;15726125.82;21.18;26.28;NA;NA;NA;5.0;0.0;0.0
2021-06-03;Primo dose récente;[0,19];863.1;60.66;6.58;20.65;0.0;0.0;1.0;1.0;0.0;0.0;198997.67;33.01;88.49;NA;NA;NA;0.0;0.0;0.0
2021-06-03;Complet de moins de 3 mois - sans rappel;[0,19];196.77;10.37;0.25;7.14;0.0;0.0;0.0;0.0;0.0;0.0;31315.57;3.72;0;NA;NA;NA;0.0;0.0;0.0
2021-06-03;Complet de moins de 3 mois - sans rappel;[20,39];5534.73;295.51;31.24;103.46;4.25;2.04;1.09;1.0;0.0;0.0;822149.29;35.08;29.47;NA;NA;NA;2.0;1.0;0.0
2021-06-03;Non-vaccinés;[40,59];27748.94;2583.27;494.05;1271.14;63.0;42.23;16.89;14.0;1.81;1.0;8821966.84;18.8;21.23;32.69;16.67;NA;39.56;13.0;1.0
2021-06-03;Complet entre 3 mois et 6 mois - sans rappel;[40,59];1988.49;71.05;3.64;14.64;0.0;0.0;0.0;0.0;0.0;0.0;373655.03;41.01;49.57;NA;NA;NA;0.0;0.0;0.0
2021-06-03;Non-vaccinés;[60,79];8997.61;714.16;122.73;397.65;66.64;47.27;27.74;21.73;6.57;6.57;3433544.61;26.73;24.5;30.52;20;0;43.38;20.73;5.57
